PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Yasir Abdullah,2569891,LB,JAX,NYJ,,,,,,,,,,,,,,,,,,0.00,231,1,0.00,0.0
Matthew Adams,2561149,LB,NYG,BAL,,,,,,,,,,,,,,,,,,0.00,232,2,0.00,0.0
Mitchell Agude,2571111,LB,DET,BUF,,,,,,,,,,,,,,,,,,0.00,233,3,0.00,0.0
Austin Ajiake,2571766,LB,IND,@DEN,,,,,,,,,,,,,,,,,,0.00,234,4,0.00,0.0
Azeez Al-Shaair,2562462,LB,HOU,MIA,,,,,,,,,,,,,,,,,,0.00,235,5,0.00,0.0
Kwon Alexander,2552592,LB,DET,BUF,1.88,1.34,0.13,0.27,,0.13,0.13,,,,,,,,,,,4.87,98,6,0.00,-4.87
Brevin Allen,2571285,LB,FA,Bye,,,,,,,,,,,,,,,,,,,236,7,0.00,
Troy Andersen,2567235,LB,ATL,@LV,3.5,1.36,0.09,0.12,,0.06,,,,,,,,0.06,0.24,,,6.91,65,8,0.00,-6.91
Liam Anderson,2570521,LB,IND,@DEN,,,,,,,,,,,,,,,,,,0.00,237,9,0.00,0.0
Joe Andreessen,2573632,LB,BUF,@DET,0.88,0.41,,0.12,,0.06,,,,,,,,,,,,1.96,178,10,0.00,-1.96
David Anenih,2568798,LB,FA,Bye,,,,,,,,,,,,,,,,,,,238,11,0.00,
Alex Anzalone,2558163,LB,DET,BUF,,,,,,,,,,,,,,,,,,0.00,239,12,0.00,0.0
Brian Asamoah,2567901,LB,MIN,CHI,0.57,0.28,,0.11,,,,,,,,,,,,,,1.19,213,13,0.00,-1.19
Joe Bachie,2564661,LB,CIN,@TEN,0.72,0.84,,,,,,,,,,,,,,,,1.58,198,14,0.00,-1.58
Levelle Bailey,2573079,LB,DEN,IND,,,,,,,,,,,,,,,,,,0.00,240,15,0.00,0.0
Markus Bailey,2563719,LB,ARI,NE,,,,,,,,,,,,,,,,,,0.00,241,16,0.00,0.0
Jerome Baker,2560966,LB,TEN,CIN,4.07,1.36,0.23,0.34,0.06,0.06,,,,,,,,,,,,8.31,46,17,0.00,-8.31
