PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Davante Adams,2543495,WR,NYJ,@JAX,,,,0.26,,4.53,58.86,0.42,,,,0.11,10.48,27,1,0.00,-10.48
Jordan Addison,2570074,WR,MIN,CHI,,,,0.94,,3.6,49.55,0.31,,,,0.05,8.61,43,2,0.00,-8.61
Nelson Agholor,2552600,WR,BAL,@NYG,,,,0.36,,1.21,15.03,0.12,,,,,2.86,106,3,0.00,-2.86
Brandon Aiyuk,2565093,WR,SF,LAR,,,,,,,,,,,,,0.00,170,4,0.00,0.0
Maurice Alexander,2569528,WR,DET,BUF,,,,,,,,,,,,,0.00,171,5,0.00,0.0
Josh Ali,2569533,WR,FA,Bye,,,,,,,,,,,,,,172,6,0.00,
Kazmeir Allen,2571641,WR,WAS,@NO,,,,,,,,,,,,,0.00,173,7,0.00,0.0
Keenan Allen,2540154,WR,CHI,@MIN,,,,0.64,,4.86,51.24,0.38,,,,0.13,9.64,37,8,0.00,-9.64
Daniel Arias,2571074,WR,FA,Bye,,,,,,,,,,,,,,174,9,0.00,
Ayir Asante,2573488,WR,FA,Bye,,,,,,,,,,,,,,175,10,0.00,
Tutu Atwell,2566196,WR,LAR,@SF,,,,0.67,,0.74,9.34,0.07,,,,,1.79,127,11,0.00,-1.79
Calvin Austin III,2568132,WR,PIT,@PHI,,,,4.76,,2.6,27.8,0.17,,,,,5.58,72,12,0.00,-5.58
Kevin Austin Jr.,2568954,WR,NO,WAS,,,,,,1.91,12.05,0.15,,,,,3.06,101,13,0.00,-3.06
Andre Baccellia,2564250,WR,ARI,NE,,,,,,,,,,,,,0.00,176,14,0.00,0.0
Alex Bachman,2563301,WR,LV,ATL,,,,,,,,,,,,,0.00,177,15,0.00,0.0
Javon Baker,2572285,WR,NE,@ARI,,,,0.16,,0.29,3.51,0.02,,,,,0.63,149,16,0.00,-0.63
Jelani Baker,2572588,WR,FA,Bye,,,,,,,,,,,,,,178,17,0.00,
Kawaan Baker,2566349,WR,FA,Bye,,,,,,,,,,,,,,179,18,0.00,
Daylen Baldwin,2569519,WR,FA,Bye,,,,,,,,,,,,,,180,19,0.00,
Michael Bandy,2567175,WR,DEN,IND,,,,,,,,,,,,,0.00,181,20,0.00,0.0
Rashod Bateman,2565836,WR,BAL,@NYG,,,,0.33,,3.07,39.15,0.27,,,,0.07,6.96,58,21,0.00,-6.96
Odell Beckham Jr.,2543496,WR,MIA,@HOU,,,,0.39,,1.88,23.45,0.17,,,,,4.34,87,22,0.00,-4.34
David Bell,2567460,WR,CLE,KC,,,,,,,,,,,,,0.00,182,23,0.00,0.0
Ronnie Bell,2570290,WR,SF,LAR,,,,,,,,,,,,,0.00,183,24,0.00,0.0
Braxton Berrios,2560975,WR,MIA,@HOU,,,,,,,,,0.06,,,,0.36,161,25,0.00,-0.36
Tarik Black,2565594,WR,MIA,@HOU,,,,,,,,,,,,,0.00,184,26,0.00,0.0
Chris Blair,2565588,WR,ATL,@LV,,,,,,,,,,,,,0.00,185,27,0.00,0.0
Jake Bobo,2571378,WR,SEA,GB,,,,0.18,,0.91,11.16,0.09,,,,,2.13,117,28,0.00,-2.13
Kendrick Bourne,2558914,WR,NE,@ARI,,,,0.78,,2.53,31.93,0.19,,,,0.06,5.56,73,29,0.00,-5.56
Kayshon Boutte,2570092,WR,NE,@ARI,,,,1.36,,2.99,39.36,0.27,,,,,7.19,56,30,0.00,-7.19
Tyler Boyd,2555466,WR,TEN,CIN,,,,0.21,,1.11,11.43,0.08,,,,0.03,2.14,116,31,0.00,-2.14
Miles Boykin,2562631,WR,SEA,GB,,,,,,,,,,,,,0.00,186,32,0.00,0.0
Jalen Brooks,2569696,WR,DAL,@CAR,,,,,,1.06,12.86,0.09,,,,,2.36,113,33,0.00,-2.36
Phillip Brooks,2572814,WR,FA,Bye,,,,,,,,,,,,,,187,34,0.00,
