PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jalen Pitre,2567688,DB,HOU,@CHI,5,3,1,2,2,,1,,,,,,,2,1,22,,9.58,1,28.13,18.55
Jevon Holland,2566283,DB,MIA,BUF,9,1,1.5,,,1,,,,,,,,2,1,,,9.93,2,28.10,18.17
Josh Metellus,2564568,DB,MIN,DET,9,2,,,1,,,,,,,,,2,,,,1.77,3,25.40,23.63
Donovan Wilson,2562604,DB,DAL,@NYG,9,2,1,1,,,,,,,,,,1,2,,,9.90,4,23.90,14.0
Jalen Ramsey,2555280,DB,LA,@ARI,8,,,2,,,,,,,,,,2,,,,9.46,5,21.60,12.14
Jeremy Chinn,2563632,DB,CAR,NO,6,2,1,1,,,,,,,,,,2,1,,,10.82,6,20.80,9.98
Eddie Jackson,2558176,DB,CHI,HOU,5,3,,,1,1,,,,,,,,1,,,,10.57,7,20.40,9.83
Mike Edwards,2562259,DB,TB,GB,9,4,,1,,,,,,,,,,,,,,10.25,8,20.00,9.75
Richie Grant,2565818,DB,ATL,@SEA,6,1,,,1,,,,,,,,,2,,12,,10.37,9,19.90,9.53
Rasul Douglas,2558168,DB,GB,@TB,8,,,,,,,,,,,,,2,,,,8.76,10,18.60,9.84
Roger McCreary,2567655,DB,TEN,LV,9,1,,,,,,,,,,,,1,,,,9.67,11,18.60,8.93
Denzel Ward,2560916,DB,CLE,PIT,5,,,,,,1,,1,,,,,2,,,,7.18,12,18.50,11.32
Derion Kendrick,2567841,DB,LA,@ARI,9,,,,,,,,,,,,,1,,,,1.97,13,17.80,15.83
A.J. Terrell,2563527,DB,ATL,@SEA,6,,,,,,,,,,,,,3,,,,9.50,14,17.70,8.2
L'Jarius Sneed,2564304,DB,KC,@IND,5,2,1,,,1,1,,,,,,,,1,,5,10.73,15,17.27,6.54
Vonn Bell,2555530,DB,CIN,@NYJ,8,,,2,,,,,,,,,,,,,,10.58,16,16.60,6.02
Charvarius Ward,2561417,DB,SF,@DEN,3,5,,1,,1,,,,,,,,1,,,,11.07,17,16.60,5.53
Mike Hilton,2556559,DB,CIN,@NYJ,5,3,,2,,,,,,,,,,1,,,,9.49,18,16.40,6.91
Chidobe Awuzie,2557840,DB,CIN,@NYJ,5,,,,,,,,,,,,,3,,,,11.28,19,16.00,4.72
Jonathan Jones,2556571,DB,NE,BAL,3,1,,,1,1,,,,,,,,1,,15,,7.92,20,15.90,7.98
Michael Davis,2559164,DB,LAC,JAX,8,2,,,,,,,,,,,,,,,,9.00,21,15.20,6.2
Rodney McLeod,2534832,DB,IND,KC,3,2,,,1,,,,,,,,,2,,,,3.40,22,15.20,11.8
Brandon Jones,2564469,DB,MIA,BUF,6,3,,,,,,,,,,,,1,,,,9.22,23,15.10,5.88
Amani Oruwariye,2562390,DB,DET,@MIN,7,2,,1,,,,,,,,,,,,,,8.30,24,15.00,6.7
Jaylen Watson,2567811,DB,KC,@IND,6,1,,1,,,,,,,,,,1,,,,9.06,25,15.00,5.94
Julian Love,2562414,DB,NYG,DAL,4,10,,,,,,,,,,,,,,,,10.53,26,14.80,4.27
