PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Brandon Graham,496788,DL,PHI,@WAS,4,2,2.5,2,,1,,,,,,,,1,5,,,4.62,1,24.90,20.28
Maxx Crosby,2562439,DL,LV,@TEN,5,4,1,2,,1,,,,,,,,1,1,,,8.22,2,23.20,14.98
Deatrich Wise,2558000,DL,NE,BAL,5,1,3,4,,,,,,,,,,,3,,,6.69,3,22.80,16.11
Demarcus Lawrence,2543490,DL,DAL,@NYG,6,,3,3,,,,,,,,,,,3,,,6.33,4,22.20,15.87
Trey Hendrickson,2557943,DL,CIN,@NYJ,2,2,2.5,,,2,,,,,,,,,4,,,5.48,5,19.00,13.52
Alex Highsmith,2564982,DL,PIT,@CLE,6,2,1.5,2,,,,,,,,,,,2,,,8.39,6,18.80,10.41
Mike Purcell,2541634,DL,DEN,SF,4,1,1,1,,,,,,,1,,,,,,,2.26,7,15.10,12.84
Grady Jarrett,2552327,DL,ATL,@SEA,4,1,1,3,,,,,,,,,,,1,,,5.76,8,14.60,8.84
Sheldon Rankins,2555242,DL,NYJ,CIN,6,,1,1,,,,,,,,,,,1,,,3.64,9,14.20,10.56
Kenny Clark,2555282,DL,GB,@TB,3,1,2,2,,,,,,,,,,,2,,,5.39,10,13.90,8.51
Aaron Donald,2543485,DL,LA,@ARI,4,2,1,2,,,,,,,,,,,1,,,7.68,11,13.90,6.22
Sebastian Joseph-Day,2561079,DL,LAC,JAX,4,3,,2,,,,,,,,,,,,,,5.76,12,12.20,6.44
Rasheem Green,2560998,DL,HOU,@CHI,5,2,0.5,,,,,,,,,,,,2,,,4.16,13,12.10,7.94
Derrick Brown,2563629,DL,CAR,NO,2,,,,1,,,,,,,,,2,,,,4.57,14,11.90,7.33
Jonathan Allen,2557844,DL,WAS,PHI,4,,,1,,,,,,,,,,1,1,,,5.47,15,11.30,5.83
Greg Rousseau,2565875,DL,BUF,@MIA,2,1,1.5,2,,,,,,,,,,,2,,,4.98,16,11.20,6.22
Darrell Taylor,2565198,DL,SEA,ATL,3,,1,,,1,,,,,,,,,1,,,4.49,17,11.10,6.61
Quinnen Williams,2562599,DL,NYJ,CIN,3,1,1,1,,,,,,,,,,,3,,,5.25,18,10.90,5.65
Cameron Heyward,2508109,DL,PIT,@CLE,4,3,,1,,,,,,,,,,,,,,6.53,19,10.70,4.17
Khalen Saunders,2562723,DL,KC,@IND,3,5,,,,,,,,,,,,,2,,,1.68,20,10.10,8.42
Shy Tuttle,2563242,DL,NO,@CAR,5,2,,,,,,,,,,,,,,,,4.60,21,10.10,5.5
Otito Ogbonnia,2568183,DL,LAC,JAX,5,,,1,,,,,,,,,,,,,,1.77,22,10.00,8.23
Justin Madubuike,2563563,DL,BAL,@NE,2,1,1,2,,,,,,,,,,,1,,,4.15,23,9.70,5.55
Randy Gregory,2552446,DL,DEN,SF,3,,1,1,,,,,,,,,,,2,,,,24,9.60,
Marquis Haynes,2561009,DL,CAR,NO,1,1,,,,,1,,1,,,,,,1,,44,2.78,25,9.47,6.69
Dawuane Smoot,2557839,DL,JAX,@LAC,2,,1,,,1,,,,,,,,,1,,,3.19,26,9.40,6.21
Daron Payne,2560834,DL,WAS,PHI,1,2,,1,,,,,,,1,,,,1,,,6.26,27,9.30,3.04
Josh Sweat,2560889,DL,PHI,@WAS,1,2,1.5,1,,,,,,,,,,,3,,,4.76,28,9.30,4.54
Dorance Armstrong,2560959,DL,DAL,@NYG,1,,1,1,,,,,,,,,1,,2,,,5.15,29,9.20,4.05
Cameron Jordan,2495184,DL,NO,@CAR,2,2,1,1,,,,,,,,,,,1,,,6.94,30,9.00,2.06
Fletcher Cox,2533051,DL,PHI,@WAS,1,2,1.5,1,,,,,,,,,,,2,,,4.72,31,8.80,4.08
Justin Jones,2560769,DL,CHI,HOU,2,1,1,1,,,,,,,,,,,2,,,5.03,32,8.70,3.67
Efe Obada,2553310,DL,WAS,PHI,2,1,1,1,,,,,,,,,,,2,,,3.73,33,8.70,4.97
Javon Hargrave,2555239,DL,PHI,@WAS,2,,1,1,,,1,,,,,,,,1,,,4.35,34,8.40,4.05
Jermaine Johnson II,2568033,DL,NYJ,CIN,4,,,1,,,,,,,,,,,,,,2.30,35,8.30,6.0
Kerry Hyder,2550433,DL,SF,@DEN,1,,1,1,,,,,,,,,,1,1,,,1.91,36,8.20,6.29
Nick Bosa,2562629,DL,SF,@DEN,1,1,1,1,,,,,,,,,,,4,,,6.51,37,8.00,1.49
Cameron Sample,2565959,DL,CIN,@NYJ,1,1,1,1,,,,,,,,,,,3,,,1.66,38,7.50,5.84
Shaka Toney,2566607,DL,WAS,PHI,3,1,,1,,,,,,,,,,,,,,1.01,39,7.40,6.39
Frank Clark,2552629,DL,KC,@IND,1,2,1,1,,,,,,,,,,,1,,,3.50,40,7.30,3.8
Kevin Givens,2562655,DL,SF,@DEN,1,2,1,1,,,,,,,,,,,1,,,2.26,41,7.30,5.04
Yannick Ngakoue,2555421,DL,IND,KC,1,1,1,1,,,,,,,,,,,2,,,4.16,42,7.00,2.84
Isaac Rochell,2557860,DL,CLE,PIT,4,,,,,,,,,,,,,,,,,0.00,43,6.80,6.8
Logan Hall,2568303,DL,TB,GB,1,,1,1,,,,,,,,,,,3,,,2.42,44,6.70,4.28
Al-Quadin Muhammad,2558131,DL,CHI,HOU,,4,,,,1,,,,,,,,,,,,4.59,45,6.70,2.11
Emmanuel Ogbah,2555278,DL,MIA,BUF,1,,,,,,,,,,,,1,,4,,,5.00,46,6.70,1.7
Danielle Hunter,2552603,DL,MIN,DET,3,,,1,,,,,,,,,,,,,,7.62,47,6.60,-1.02
Kwity Paye,2565612,DL,IND,KC,3,,,1,,,,,,,,,,,,,,5.10,48,6.60,1.5
Quinton Jefferson,2555358,DL,SEA,ATL,1,1,1,1,,,,,,,,,,,1,,,3.35,49,6.50,3.15
DeForest Buckner,2555275,DL,IND,KC,2,2,,,,,,,,,,,,,2,,,6.83,50,6.00,-0.83
Charles Harris,2558001,DL,DET,@MIN,2,,,1,,,,,,,,,,,2,,,,51,5.90,
Broderick Washington,2563593,DL,BAL,@NE,3,1,,,,,,,,,,,,,,,,2.29,52,5.90,3.61
Christian Wilkins,2562782,DL,MIA,BUF,3,1,,,,,,,,,,,,,,,,8.26,53,5.90,-2.36
DeShawn Williams,2553623,DL,DEN,SF,3,1,,,,,,,,,,,,,,,,4.28,54,5.90,1.62
Chris Wormley,2557862,DL,PIT,@CLE,2,3,,,,,,,,,,,,,,,,3.14,55,5.80,2.66
Micheal Clemons,2568024,DL,NYJ,CIN,2,1,,1,,,,,,,,,,,,,,2.23,56,5.70,3.47
J.J. Watt,2495488,DL,ARI,LA,1,,1,1,,,,,,,,,,,1,,,5.31,57,5.70,0.39
Vita Vea,2560909,DL,TB,GB,,2,,,,1,,,,,,,,,1,,,4.26,58,5.60,1.34
Henry Anderson,2552272,DL,CAR,NO,1,1,,,,,,,,,,,1,,,,,2.36,59,5.50,3.14
Jonathan Greenard,2564070,DL,HOU,@CHI,1,1,0.5,1,,,,,,,,,,,1,,,5.13,60,5.50,0.37
Dexter Lawrence,2562301,DL,NYG,DAL,1,4,,,,,,,,,,,,,1,,,5.81,61,5.40,-0.41
Tyson Alualu,496760,DL,PIT,@CLE,3,,,,,,,,,,,,,,,,,3.61,62,5.10,1.49
Christian Barmore,2566328,DL,NE,BAL,3,,,,,,,,,,,,,,,,,3.44,63,5.10,1.66
A'Shawn Robinson,2555265,DL,LA,@ARI,3,,,,,,,,,,,,,,,,,5.65,64,5.10,-0.55
Angelo Blackson,2552670,DL,CHI,HOU,1,1,,,,,,,,,,,,1,,,,4.02,65,5.00,0.98
Harrison Phillips,2560840,DL,MIN,DET,2,2,,,,,,,,,,,,,,,,5.21,66,5.00,-0.21
Jordan Elliott,2563779,DL,CLE,PIT,2,,,1,,,,,,,,,,,,,,3.61,67,4.90,1.29
George Karlaftis,2567796,DL,KC,@IND,1,4,,,,,,,,,,,,,,,,4.92,68,4.90,-0.02
Dayo Odeyingbo,2565609,DL,IND,KC,2,,,1,,,,,,,,,,,,,,1.89,69,4.90,3.01
Zach Allen,2562219,DL,ARI,LA,1,2,,1,,,,,,,,,,,,,,6.40,70,4.80,-1.6
Carl Granderson,2562273,DL,NO,@CAR,1,2,0.5,,,,,,,,,,,,1,,,2.40,71,4.80,2.4
Calais Campbell,744,DL,BAL,@NE,2,1,,,,,,,,,,,,,1,,,5.17,72,4.70,-0.47
Poona Ford,2561195,DL,SEA,ATL,2,1,,,,,,,,,,,,,1,,,5.29,73,4.70,-0.59
David Onyemata,2556274,DL,NO,@CAR,2,1,,,,,,,,,,,,,1,,,4.02,74,4.70,0.68
Jeffery Simmons,2562733,DL,TEN,LV,,2,,,,,,,,,,,,1,1,,,6.58,75,4.60,-1.98
Chris Jones,2556369,DL,KC,@IND,1,1,,1,,,,,,,,,,,1,,,4.47,76,4.50,0.03
Daniel Ekuale,2561458,DL,NE,BAL,1,,,,,,,,,,,,,1,,,,1.83,77,4.20,2.37
Rakeem Nunez-Roches,2552674,DL,TB,GB,2,1,,,,,,,,,,,,,,,,2.65,78,4.20,1.55
Kayvon Thibodeaux,2568015,DL,NYG,DAL,1,,,,,,,,,,,,,1,,,,4.32,79,4.20,-0.12
Jordan Davis,2568069,DL,PHI,@WAS,,2,,,,,,,,,,,,1,,,,2.36,80,4.10,1.74
Hassan Ridgeway,2555514,DL,SF,@DEN,1,3,,,,,,,,,,,,,,,,2.00,81,4.10,2.1
Dalvin Tomlinson,2557846,DL,MIN,DET,1,3,,,,,,,,,,,,,,,,4.82,82,4.10,-0.72
Travon Walker,2567778,DL,JAX,@LAC,,2,,,,,,,,,,,,1,,,,7.39,83,4.10,-3.29
Michael Brockers,2533050,DL,DET,@MIN,,1,,,,,,,,,,,,1,1,,,2.97,84,3.80,0.83
Zach Sieler,2561129,DL,MIA,BUF,1,2,,,,,,,,,,,,,1,,,6.74,85,3.80,-2.94
Teair Tart,2565474,DL,TEN,LV,,1,,,,,,,,,,,,1,1,,,2.30,86,3.80,1.5
Maliek Collins,2555400,DL,HOU,@CHI,1,,,1,,,,,,,,,,,1,,,3.36,87,3.70,0.34
Sam Hubbard,2560745,DL,CIN,@NYJ,1,1,,,,,,,,,,,,,2,,,7.90,88,3.50,-4.4
Taven Bryan,2560983,DL,CLE,PIT,2,,,,,,,,,,,,,,,,,3.56,89,3.40,-0.16
Ta'Quon Graham,2565815,DL,ATL,@SEA,,3,,,,,,,,,,,,,2,,,2.77,90,3.40,0.63
Osa Odighizuwa,2566016,DL,DAL,@NYG,2,,,,,,,,,,,,,,,,,3.62,91,3.40,-0.22
Deadrin Senat,2560869,DL,TB,GB,2,,,,,,,,,,,,,,,,,1.18,92,3.40,2.22
Jerry Tillery,2562763,DL,LAC,JAX,2,,,,,,,,,,,,,,,,,2.95,93,3.40,0.45
Marlon Tuipulotu,2566415,DL,PHI,@WAS,2,,,,,,,,,,,,,,,,,1.98,94,3.40,1.42
Tershawn Wharton,2564310,DL,KC,@IND,2,,,,,,,,,,,,,,,,,2.79,95,3.40,0.61
Andrew Billings,2555267,DL,LV,@TEN,1,2,,,,,,,,,,,,,,,,3.18,96,3.30,0.12
Justin Ellis,2543812,DL,NYG,DAL,1,2,,,,,,,,,,,,,,,,1.40,97,3.30,1.9
Davon Godchaux,2558012,DL,NE,BAL,1,2,,,,,,,,,,,,,,,,5.03,98,3.30,-1.73
DaQuan Jones,2543504,DL,BUF,@MIA,1,2,,,,,,,,,,,,,,,,3.95,99,3.30,-0.65
Dean Lowry,2555274,DL,GB,@TB,1,2,,,,,,,,,,,,,,,,4.94,100,3.30,-1.64
Charles Omenihu,2562324,DL,SF,@DEN,1,2,,,,,,,,,,,,,,,,2.47,101,3.30,0.83
Dante Fowler Jr.,2553431,DL,DAL,@NYG,1,,,1,,,,,,,,,,,,,,2.73,102,3.20,0.47
Adam Gotsis,2555502,DL,JAX,@LAC,1,,,1,,,,,,,,,,,,,,2.51,103,3.20,0.69
Matthew Ioannidis,2555240,DL,CAR,NO,1,,,1,,,,,,,,,,,,,,4.26,104,3.20,-1.06
Arden Key,2560779,DL,JAX,@LAC,1,,,1,,,,,,,,,,,,,,2.30,105,3.20,0.9
Payton Turner,2566355,DL,NO,@CAR,1,,,1,,,,,,,,,,,,,,,106,3.20,
William Gholston,2540176,DL,TB,GB,1,1,,,,,,,,,,,,,1,,,2.39,107,3.00,0.61
Chauncey Golston,2566007,DL,DAL,@NYG,1,1,,,,,,,,,,,,,1,,,1.92,108,3.00,1.08
Johnathan Hankins,2540147,DL,LV,@TEN,1,1,,,,,,,,,,,,,1,,,2.71,109,3.00,0.29
Michael Hoecht,2564346,DL,LA,@ARI,,,,,,,,,,,,,1,,,,,0.53,110,3.00,2.47
Dre'Mont Jones,2562412,DL,DEN,SF,,3,,,,,,,,,,,,,1,,,5.63,111,2.90,-2.73
Markus Golden,2552273,DL,ARI,LA,1,,,,,,,,,,,,,,2,,,6.26,112,2.70,-3.56
Jarran Reed,2555238,DL,GB,@TB,1,,,,,,1,,,,,,,,,,,4.36,113,2.70,-1.66
D.J. Wonnum,2564583,DL,MIN,DET,1,,,,,,,,,,,,,,2,,,3.28,114,2.70,-0.58
Montravius Adams,2557876,DL,PIT,@CLE,,,,,,,,,,,,,,1,,,,1.75,115,2.50,0.75
Boogie Basham,2565863,DL,BUF,@MIA,,,,,,,,,,,,,,1,,,,3.50,116,2.50,-1.0
Will Bradley-King,2566583,DL,WAS,PHI,1,1,,,,,,,,,,,,,,,,2.57,117,2.50,-0.07
Clelin Ferrell,2562263,DL,LV,@TEN,1,1,,,,,,,,,,,,,,,,1.46,118,2.50,1.04
Austin Johnson,2556368,DL,LAC,JAX,1,1,,,,,,,,,,,,,,,,4.62,119,2.50,-2.12
D.J. Jones,2558265,DL,DEN,SF,,,,,,,,,,,,,,1,,,,6.19,120,2.50,-3.69
