PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Marcus Jones,2567943,DB,NE,@ARI,7,1,,,1,,,,,,,,,2,,18,,1.20,1,23.50,22.3
Jalen Pitre,2567688,DB,HOU,@DAL,9,3,,,,,,,,,,,,2,,,,11.38,2,22.70,11.32
Andrew Wingard,2562606,DB,JAX,@TEN,6,1,,1,1,,,,,,,,,1,1,13,,9.54,3,19.43,9.89
Jaycee Horn,2565893,DB,CAR,@SEA,5,1,,,1,,,,,,,,,2,,31,,6.96,4,18.83,11.87
Jimmie Ward,2543741,DB,SF,TB,6,2,,,,1,,,,,,,,1,1,,,5.48,5,18.30,12.82
Eric Rowe,2552255,DB,MIA,@LAC,7,1,1,2,,,,,,,,,,,1,,,8.43,6,18.20,9.77
Tremon Smith,2561103,DB,HOU,@DAL,3,,,,2,,,,,,,,,2,,33,,1.03,7,18.20,17.17
Andrew Adams,2556456,DB,TEN,JAX,8,2,,,,,,,,,,,,1,,,,9.19,8,17.70,8.51
Kyle Dugger,2564601,DB,NE,@ARI,7,2,,,,1,,,,,,,,,,,,11.85,9,17.00,5.15
L'Jarius Sneed,2564304,DB,KC,@DEN,3,4,,,1,,,,,,,,,2,,6,,11.25,10,17.00,5.75
Nate Hobbs,2566259,DB,LV,@LA,8,1,,,,,,,,,,,,1,,,,10.74,11,16.90,6.16
Ryan Neal,2561381,DB,SEA,CAR,6,5,,,,,,,,,,,,1,,,,9.10,12,16.70,7.6
Jerry Jacobs,2566896,DB,DET,MIN,5,2,1,1,,,,,,,,,,1,1,,,9.41,13,16.60,7.19
Juan Thornhill,2562761,DB,KC,@DEN,5,2,1,1,,,,,,,,,,1,1,,,8.35,14,16.60,8.25
Kareem Jackson,496735,DB,DEN,KC,7,3,,1,,,,,,,,,,,,,,8.30,15,15.80,7.5
Taron Johnson,2560766,DB,BUF,NYJ,7,1,,,,,,,,,,,,1,,,,9.59,16,15.20,5.61
Jason Pinnock,2565753,DB,NYG,PHI,8,1,,,,,,,,,,,,,,,,8.96,17,14.40,5.44
Logan Ryan,2540162,DB,TB,@SF,8,1,,,,,,,,,,,,,,,,9.64,18,14.40,4.76
Dane Jackson,2563614,DB,BUF,NYJ,5,1,,,,,,,,,,,,2,,,,8.90,19,14.30,5.4
Julian Love,2562414,DB,NYG,PHI,7,3,,,,,,,,,,,,,,,,12.45,20,14.30,1.85
Cam Taylor-Britt,2567454,DB,CIN,CLE,5,1,,,,,,,,,,,,2,,,,9.76,21,14.30,4.54
Marcus Epps,2562946,DB,PHI,@NYG,7,1,,1,,,,,,,,,,,,,,8.66,22,14.20,5.54
Minkah Fitzpatrick,2560725,DB,PIT,BAL,6,5,,,,,,,,,,,,,,,,11.43,23,14.20,2.77
Mike Hughes,2560746,DB,DET,MIN,6,1,,2,,,,,,,,,,,,,,7.93,24,14.00,6.07
Troy Hill,2553536,DB,LA,LV,7,2,,,,,,,,,,,,,,,,9.97,25,13.50,3.53
Josh Metellus,2564568,DB,MIN,@DET,7,2,,,,,,,,,,,,,,,,8.43,26,13.50,5.07
DeShon Elliott,2560715,DB,DET,MIN,6,,,,,,,,,,,,,1,,,,10.46,27,12.70,2.24
John Johnson,2558183,DB,CLE,@CIN,6,2,,,,,,,,,,,,,,,,9.04,28,11.80,2.76
Charvarius Ward,2561417,DB,SF,TB,6,2,,,,,,,,,,,,,,,,10.15,29,11.80,1.65
C.J. Henderson,2564199,DB,CAR,@SEA,1,1,,,1,,,,,,,,,2,,20,,8.42,30,11.67,3.25
Vonn Bell,2555530,DB,CIN,CLE,5,2,0.5,,,,,,,,,,,,1,,,9.76,31,11.60,1.84
Desmond King,2557927,DB,HOU,@DAL,3,4,,2,,,,,,,,,,,,,,10.98,32,11.30,0.32
Jessie Bates,2560970,DB,CIN,CLE,,3,,,1,,,,,,,,,2,,7,,8.67,33,11.13,2.46
Quandre Diggs,2552262,DB,SEA,CAR,5,,,,,,,,,,,,,1,,,,7.91,34,11.00,3.09
Damarri Mathis,2567529,DB,DEN,KC,5,,,,,,,,,,,,,1,,,,9.97,35,11.00,1.03
Trayvon Mullen,2562380,DB,DAL,HOU,4,2,,,,,,,,,,,,1,,,,3.25,36,10.90,7.65
Jalen Ramsey,2555280,DB,LA,LV,4,2,,,,,,,,,,,,1,,,,9.97,37,10.90,0.93
Jonathan Owens,2561255,DB,HOU,@DAL,2,3,,,,,,,,,,,,2,,,,10.13,38,10.80,0.67
Jeremy Chinn,2563632,DB,CAR,@SEA,3,2,,1,,,,,,,,,,1,,,,9.54,39,10.70,1.16
Jordan Poyer,2539290,DB,BUF,NYJ,4,3,,1,,,,,,,,,,,,,,9.71,40,10.70,0.99
Alohi Gilman,2565042,DB,LAC,MIA,2,1,,,,1,,,,,,,,1,,,,10.76,41,10.20,-0.56
Marcus Williams,2558847,DB,BAL,@PIT,2,1,,,1,,,,,,,,,1,,,,1.72,42,10.20,8.48
Myles Bryant,2564592,DB,NE,@ARI,5,2,,,,,,,,,,,,,,,,6.33,43,10.10,3.77
Kevin Byard,2555158,DB,TEN,JAX,3,,,,,,,,,,,,,2,,,,9.37,44,10.10,0.73
Avonte Maddox,2560795,DB,PHI,@NYG,5,2,,,,,,,,,,,,,,,,6.09,45,10.10,4.01
Denzel Ward,2560916,DB,CLE,@CIN,3,,,,,,,,,,,,,2,,,,8.63,46,10.10,1.47
Trevon Diggs,2563836,DB,DAL,HOU,5,,,,,,1,,,,,,,,,,17,8.95,47,10.07,1.12
Darius Slay,2540288,DB,PHI,@NYG,2,2,,,,,,,,,,,,2,,,,8.06,48,10.00,1.94
Chandon Sullivan,2560887,DB,MIN,@DET,5,,,1,,,,,,,,,,,,,,6.88,49,10.00,3.12
Terrell Edmunds,2560712,DB,PIT,BAL,3,6,,,,,,,,,,,,,,,,8.72,50,9.90,1.18
Justin Simmons,2555550,DB,DEN,KC,4,2,,1,,,,,,,,,,,,,,9.02,51,9.90,0.88
Donovan Wilson,2562604,DB,DAL,HOU,3,1,,,,1,,,,,,,,,,,,9.88,52,9.40,-0.48
Sauce Gardner,2568027,DB,NYJ,@BUF,4,,,,,,,,,,,,,1,,,,0.00,53,9.30,9.3
Kyle Hamilton,2567274,DB,BAL,@PIT,5,1,,,,,,,,,,,,,,,,4.83,54,9.30,4.47
Damar Hamlin,2565872,DB,BUF,NYJ,2,3,,,,1,,,,,,,,,,,,11.19,55,9.30,-1.89
Amani Hooker,2562666,DB,TEN,JAX,4,,,,,,,,,,,,,1,,,,9.91,56,9.30,-0.61
Marlon Humphrey,2558067,DB,BAL,@PIT,5,1,,,,,,,,,,,,,,,,8.98,57,9.30,0.32
Kelvin Joseph,2566010,DB,DAL,HOU,4,,,,,,,,,,,,,1,,,,7.87,58,9.30,1.43
Taylor Rapp,2562707,DB,LA,LV,1,2,,,1,,,,,,,,,1,,,,9.68,59,9.30,-0.38
Deommodore Lenoir,2566535,DB,SF,TB,3,2,,,,,,,,,,,,1,,,,8.62,60,9.20,0.58
Keanu Neal,2555543,DB,TB,@SF,3,3,,1,,,,,,,,,,,,,,9.62,61,9.00,-0.62
Pat Surtain II,2566043,DB,DEN,KC,1,1,,,1,,,,,,,,,1,1,,,8.33,62,9.00,0.67
Amik Robertson,2564430,DB,LV,@LA,3,,1,1,,,,,,,,,,,,,,6.16,63,8.60,2.44
Patrick Peterson,2495504,DB,MIN,@DET,5,,,,,,,,,,,,,,,,,9.54,64,8.50,-1.04
K'Von Wallace,2564871,DB,PHI,@NYG,5,,,,,,,,,,,,,,,,,1.56,65,8.50,6.94
Chuck Clark,2558248,DB,BAL,@PIT,4,2,,,,,,,,,,,,,,,,10.22,66,8.40,-1.82
Michael Davis,2559164,DB,LAC,MIA,2,,,,,,,,,,,,,2,,,,10.21,67,8.40,-1.81
Rayshawn Jenkins,2558182,DB,JAX,@TEN,4,2,,,,,,,,,,,,,,,,9.61,68,8.40,-1.21
Marcus Peters,2552488,DB,BAL,@PIT,3,1,,,,,,,,,,,,1,,,,7.99,69,8.40,0.41
Tyson Campbell,2566151,DB,JAX,@TEN,,1,,,,,,,,,,,,3,,,,8.86,70,8.30,-0.56
Tre Herndon,2561340,DB,JAX,@TEN,1,2,,,,,,,,,,,,2,,,,3.84,71,8.30,4.46
Darious Williams,2561469,DB,JAX,@TEN,2,1,,1,,,,,,,,,,1,,,,8.47,72,8.20,-0.27
Kerby Joseph,2567550,DB,DET,MIN,4,,,,,,1,,,,,,,,,,6,10.57,73,8.00,-2.57
Carlton Davis,2561039,DB,TB,@SF,4,1,,,,,,,,,,,,,,,,9.10,74,7.60,-1.5
Antonio Hamilton,2556804,DB,ARI,NE,4,1,,,,,,,,,,,,,,,,3.89,75,7.60,3.71
Tony Jefferson,2540164,DB,NYG,PHI,4,1,,,,,,,,,,,,,,,,2.30,76,7.60,5.3
Roger McCreary,2567655,DB,TEN,JAX,4,1,,,,,,,,,,,,,,,,9.57,77,7.60,-1.97
Jeff Okudah,2563944,DB,DET,MIN,4,1,,,,,,,,,,,,,,,,9.55,78,7.60,-1.95
Amani Oruwariye,2562390,DB,DET,MIN,4,1,,,,,,,,,,,,,,,,0.00,79,7.60,7.6
D.J. Reed,2560850,DB,NYJ,@BUF,4,1,,,,,,,,,,,,,,,,9.89,80,7.60,-2.29
Asante Samuel Jr.,2566511,DB,LAC,MIA,3,,,,,,,,,,,,,1,,,,8.10,81,7.60,-0.5
DaRon Bland,2567490,DB,DAL,HOU,3,3,,,,,,,,,,,,,,,,8.94,82,7.50,-1.44
Greg Newsome II,2565980,DB,CLE,@CIN,3,3,,,,,,,,,,,,,,,,7.25,83,7.50,0.25
Jalen Thompson,2563339,DB,ARI,NE,3,3,,,,,,,,,,,,,,,,9.66,84,7.50,-2.16
