PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
T.J. Watt,2558064,LB,PIT,SF,5,,3,1,,2,1,,,,,,,1,5,,,5.54,1,28.00,22.46
Zaire Franklin,2561155,LB,IND,JAX,10,7,,,,1,,,,,,,,1,,,,12.20,2,25.20,13.0
Josh Allen,2562619,LB,JAX,@IND,7,3,3,3,,,,,,,,,,,2,,,5.37,3,23.80,18.43
Roquan Smith,2560877,LB,BAL,HOU,8,8,1,2,,,,,,,,,,,1,,,12.13,4,22.30,10.17
Germaine Pratt,2562702,LB,CIN,@CLE,7,4,1,2,,1,,,,,,,,,1,,,9.12,5,21.90,12.78
Bobby Wagner,2532966,LB,SEA,LA,8,10,,1,,,,,,,,,,,,,,10.41,6,19.50,9.09
Quincy Williams,2562954,LB,NYJ,BUF,9,1,,1,,,,,,,,,,1,,,,9.84,7,18.10,8.26
Foye Oluokun,2561132,LB,JAX,@IND,8,5,,,,,,,,,,,,1,1,,,13.81,8,18.00,4.19
Quay Walker,2567631,LB,GB,@CHI,1,3,,1,1,,,1,,,,,,1,,37,,9.35,9,16.03,6.68
Matt Milano,2557969,LB,BUF,@NYJ,3,5,,1,1,,,,,,,,,1,1,13,,11.24,10,15.93,4.69
Danielle Hunter,2552603,LB,MIN,TB,4,3,1,2,,,,,,,,,,1,1,,,5.25,11,15.80,10.55
Patrick Queen,2563575,LB,BAL,HOU,3,8,1,1,,,,,,,,,,1,1,,,10.16,12,15.80,5.64
Demario Davis,2533008,LB,NO,TEN,9,1,,1,,,,,,,,,,,,,,9.02,13,15.60,6.58
Dennis Gardeck,2561200,LB,ARI,@WAS,3,1,2,1,,1,,,,,,,,,3,,,4.81,14,15.60,10.79
Devin White,2562781,LB,TB,@MIN,7,5,,1,,,,,,,,,,,,,,9.77,15,15.00,5.23
Tremaine Edmunds,2560713,LB,CHI,GB,7,1,,2,,,,,,,,,,,,,,11.83,16,14.10,2.27
Jaelan Phillips,2566289,LB,MIA,@LAC,6,5,0.5,,,,,,,,,,,,2,,,5.09,17,14.00,8.91
Divine Deablo,2566253,LB,LV,@DEN,5,4,,1,,,,,,,,,,1,,,,10.30,18,13.90,3.6
T.J. Edwards,2562648,LB,CHI,GB,6,8,,,,,,,,,,,,,,,,11.76,19,13.80,2.04
Ernest Jones,2566229,LB,LA,@SEA,4,5,,3,,,,,,,,,,,,,,7.85,20,13.50,5.65
Denzel Perryman,2552310,LB,HOU,@BAL,6,5,,1,,,,,,,,,,,,,,9.33,21,13.50,4.17
Fred Warner,2560917,LB,SF,@PIT,5,3,,1,,,,,,,,,,1,,,,11.66,22,13.30,1.64
Jordyn Brooks,2565135,LB,SEA,LA,5,7,,1,,,,,,,,,,,,,,10.07,23,13.20,3.13
Lavonte David,2532828,LB,TB,@MIN,6,2,,2,,,,,,,,,,,,,,11.14,24,13.20,2.06
Elandon Roberts,2556119,LB,PIT,SF,6,2,,2,,,,,,,,,,,,,,7.50,25,13.20,5.7
Troy Andersen,2567235,LB,ATL,CAR,3,7,0.5,1,,,,,,,,,,,1,,,8.78,26,11.70,2.92
Micah McFadden,2568003,LB,NYG,DAL,4,7,,1,,,,,,,,,,,,,,6.44,27,11.70,5.26
Logan Wilson,2563752,LB,CIN,@CLE,6,2,,1,,,,,,,,,,,,,,11.29,28,11.70,0.41
Alex Singleton,2553739,LB,DEN,LV,4,4,,,,,,,,,,,,1,1,,,14.51,29,11.40,-3.11
Kyzir White,2560928,LB,ARI,@WAS,5,4,,1,,,,,,,,,,,,,,8.79,30,11.40,2.61
Arden Key,2560779,LB,TEN,@NO,1,3,1.5,1,,,,,,,,,,1,2,,,3.97,31,11.30,7.33
Alex Anzalone,2558163,LB,DET,@KC,5,1,,,,,,,,,,,,1,1,,,10.23,32,11.10,0.87
Victor Dimukeje,2566424,LB,ARI,@WAS,2,1,1,1,,1,,,,,,,,,1,,,0.00,33,11.10,11.1
Kaden Elliss,2562901,LB,ATL,CAR,6,3,,,,,,,,,,,,,,,,8.32,34,10.80,2.48
Ivan Pace Jr.,2571210,LB,MIN,TB,6,2,,,,,,,,,,,,,1,,,0.89,35,10.70,9.81
David Ojabo,2567301,LB,BAL,HOU,3,,1,,,1,,,,,,,,,1,,,4.41,36,10.50,6.09
Eric Kendricks,2552312,LB,LAC,MIA,4,3,,,,,,,,,,,,1,,,,11.18,37,10.30,-0.88
Travon Walker,2567778,LB,JAX,@IND,3,3,1,1,,,,,,,,,,,1,,,5.03,38,10.30,5.27
Terrel Bernard,2567325,LB,BUF,@NYJ,4,7,,,,,,,,,,,,,,,,7.40,39,10.20,2.8
Jack Gibbens,2568810,LB,TEN,@NO,5,2,,1,,,,,,,,,,,,,,3.79,40,10.20,6.41
Bobby Okereke,2562416,LB,NYG,DAL,4,1,,,,1,,,,,,,,,,,,10.78,41,10.10,-0.68
Christian Harris,2567679,LB,HOU,@BAL,4,2,1,,,,,,,,,,,,1,,,10.06,42,9.70,-0.36
Ja'Whaun Bentley,2561143,LB,NE,PHI,3,6,,1,,,,,,,,,,,,,,10.02,43,9.60,-0.42
Alex Highsmith,2564982,LB,PIT,SF,4,3,,1,,,,,,,,,,,,,,4.71,44,9.30,4.59
Robert Spillane,2561596,LB,LV,@DEN,4,3,,1,,,,,,,,,,,,,,11.66,45,9.30,-2.36
Matt Judon,2555505,LB,NE,PHI,3,,1,1,,,,,,,,,,,2,,,5.15,46,9.00,3.85
Shaquille Leonard,2560789,LB,PHI,@NE,3,5,,1,,,,,,,,,,,,,,10.98,47,9.00,-1.98
Leighton Vander Esch,2560908,LB,DAL,@NYG,6,,,,,,,,,,,,,,,,,10.04,48,9.00,-1.04
Pete Werner,2566358,LB,NO,TEN,3,5,0.5,,,,,,,,,,,,1,,,8.01,49,9.00,0.99
Derrick Barnes,2566055,LB,DET,@KC,4,2,,1,,,,,,,,,,,,,,5.97,50,8.70,2.73
Jamin Davis,2566595,LB,WAS,ARI,4,2,,1,,,,,,,,,,,,,,10.66,51,8.70,-1.96
C.J. Mosley,2543464,LB,NYJ,BUF,5,2,,,,,,,,,,,,,,,,11.34,52,8.70,-2.64
Anthony Nelson,2562507,LB,TB,@MIN,2,1,1,1,,,,,,,,,,,3,,,2.28,53,8.60,6.32
Cole Holcomb,2562872,LB,PIT,SF,2,3,,,,1,,,,,,,,,,,,11.14,54,8.30,-2.84
Zaven Collins,2566421,LB,ARI,@WAS,,2,,,1,,1,,,,,,,1,,1,,5.96,55,8.23,2.27
Cameron Thomas,2568129,LB,ARI,@WAS,,1,,,,,1,,1,,,,,1,,,2,1.62,56,8.17,6.55
Boye Mafe,2568258,LB,SEA,LA,4,1,,1,,,,,,,,,,,,,,3.65,57,8.10,4.45
Micah Parsons,2566019,LB,DAL,@NYG,2,1,1,1,,,,,,,,,,,2,,,4.90,58,8.10,3.2
Lorenzo Carter,2561015,LB,ATL,CAR,2,,1,1,,,1,,,,,,,,1,,,2.67,59,8.00,5.33
Jerome Baker,2560966,LB,MIA,@LAC,4,3,,,,,,,,,,,,,,,,9.14,60,7.80,-1.34
