PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Joshua Karty,2572201,K,LAR,MIA,2.63,0.12,,0.42,0.48,0.48,0.18,,,0.06,7.33,16,1,19.00,11.67
Jason Sanders,2561153,K,MIA,@LAR,2.73,0.12,,0.42,0.47,0.42,0.24,,,0.06,7.86,9,2,15.00,7.14
Tyler Bass,2563596,K,BUF,@IND,2.75,0.12,,0.44,0.56,0.44,0.25,,,0.06,8.34,5,3,13.00,4.66
Ka'imi Fairbairn,2556521,K,HOU,DET,2.86,0.12,,0.43,0.55,0.43,0.24,,,0.06,8.30,6,4,13.00,4.7
John Parker Romo,2569101,K,MIN,@JAX,2.28,0.33,,0.33,0.65,0.33,0.33,,,,7.20,18,5,13.00,5.8
Joey Slye,2563132,K,NE,@CHI,1.88,0.11,,0.39,0.44,0.39,0.22,,,0.06,6.64,25,6,13.00,6.36
Jake Bates,2571759,K,DET,@HOU,2.75,0.18,,0.35,0.47,0.47,0.18,,,0.06,7.05,22,7,12.00,4.95
Jake Moody,2570308,K,SF,@TB,3.08,0.19,,0.45,0.58,0.45,0.26,,,0.06,8.64,4,8,12.00,3.36
Zane Gonzalez,2558178,K,WAS,PIT,,,,,,,,,,,0.00,33,9,11.00,11.0
Harrison Butker,2558245,K,KC,DEN,3.15,0.12,,0.49,0.62,0.43,0.31,,,,9.39,1,10,10.00,0.61
Jake Elliott,2558172,K,PHI,@DAL,2.42,0.12,,0.41,0.47,0.47,0.24,,,0.06,7.72,10,11,10.00,2.28
Eddy Pineiro,2560842,K,CAR,NYG,1.82,0.11,,0.32,0.43,0.32,0.21,,,,6.07,27,12,10.00,3.93
Cameron Dicker,2568435,K,LAC,TEN,2.34,0.12,,0.41,0.53,0.53,0.23,,,0.06,8.27,7,13,9.00,0.73
Matt Gay,2562271,K,IND,BUF,2.04,0.12,,0.41,0.52,0.41,0.29,,,0.06,7.50,13,14,8.00,0.5
Blake Grupe,2571234,K,NO,ATL,2.18,0.11,,0.4,0.52,0.4,0.23,,,0.06,7.30,17,15,8.00,0.7
Chase McLaughlin,2563203,K,TB,SF,2,0.11,,0.4,0.52,0.4,0.29,,,0.06,7.42,14,16,8.00,0.58
Brandon Aubrey,2571750,K,DAL,PHI,2.69,0.11,,0.5,0.5,0.39,0.28,,,0.06,8.26,8,17,7.00,-1.26
Chad Ryland,2570125,K,ARI,NYJ,1.96,0.25,,0.49,0.49,0.49,0.25,,,,7.36,15,18,7.00,-0.36
Spencer Shrader,2573175,K,NYJ,@ARI,2.04,,,0.37,0.51,0.48,0.12,,,,7.20,19,19,7.00,-0.2
Nick Folk,2507225,K,TEN,@LAC,1.69,0.1,,0.41,0.46,0.41,0.15,,,0.05,7.08,21,20,6.50,-0.58
Graham Gano,71309,K,NYG,@CAR,1.91,0.12,,0.46,0.52,0.46,0.17,,,0.06,7.12,20,21,6.00,-1.12
Chris Boswell,2550545,K,PIT,@WAS,2.05,0.12,,0.41,0.53,0.41,0.29,,,,7.60,12,22,4.00,-3.6
Younghoe Koo,2559205,K,ATL,@NO,2.41,0.06,,0.49,0.56,0.43,0.37,,,,8.95,3,23,4.00,-4.95
Evan McPherson,2565953,K,CIN,@BAL,2.55,0.43,,0.37,0.43,0.48,0.27,,,,6.93,23,24,4.00,-2.93
Cairo Santos,2550636,K,CHI,NE,2.23,0.12,,0.42,0.48,0.48,0.24,,,,7.69,11,25,3.00,-4.69
Cam Little,2572147,K,JAX,MIN,2.29,0.11,,0.34,0.52,0.34,0.17,,,,6.75,24,26,1.00,-5.75
Wil Lutz,2556601,K,DEN,@KC,1.88,0.1,,0.36,0.42,0.36,0.21,,,0.05,6.36,26,27,1.00,-5.36
Ramiz Ahmed,2563692,K,FA,Bye,,,,,,,,,,,,28,28,0.00,
Mike Badgley,2560965,K,DET,@HOU,,,,,,,,,,,0.00,29,29,0.00,0.0
Tanner Brown,2569984,K,FA,Bye,,,,,,,,,,,,30,30,0.00,
Anders Carlson,2569750,K,NYJ,@ARI,,,,,,,,,,,0.00,31,31,0.00,0.0
Daniel Carlson,2560993,K,LV,Bye,,,,,,,,,,,,32,32,0.00,
Alex Hale,2573890,K,GB,Bye,,,,,,,,,,,,34,33,0.00,
Lucas Havrisik,2569534,K,FA,Bye,,,,,,,,,,,,35,34,0.00,
Dustin Hopkins,2539227,K,CLE,Bye,,,,,,,,,,,,36,35,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,37,36,0.00,
Brett Maher,2540243,K,FA,Bye,,,,,,,,,,,,38,37,0.00,
Jude McAtamney,2573503,K,NYG,@CAR,,,,,,,,,,,0.00,39,38,0.00,0.0
Brandon McManus,2541556,K,GB,Bye,,,,,,,,,,,,40,39,0.00,
Harrison Mevis,2572932,K,FA,Bye,,,,,,,,,,,,41,40,0.00,
Jason Myers,2553112,K,SEA,Bye,,,,,,,,,,,,42,41,0.00,
Brayden Narveson,2573470,K,FA,Bye,,,,,,,,,,,,43,42,0.00,
Riley Patterson,2567013,K,FA,Bye,,,,,,,,,,,,44,43,0.00,
Jack Podlesny,2571174,K,FA,Bye,,,,,,,,,,,,45,44,0.00,
Matt Prater,2506677,K,ARI,NYJ,,,,,,,,,,,0.00,46,45,0.00,0.0
Will Reichard,2572273,K,MIN,@JAX,,,,,,,,,,,0.00,47,46,0.00,0.0
Austin Seibert,2562729,K,WAS,PIT,,,,,,,,,,,0.00,48,47,0.00,0.0
Charlie Smyth,2572330,K,NO,ATL,,,,,,,,,,,0.00,49,48,0.00,0.0
Justin Tucker,2536340,K,BAL,CIN,2.97,0.25,,0.5,0.55,0.55,0.31,,,,9.12,2,49,0.00,-9.12
James Turner,2573148,K,FA,Bye,,,,,,,,,,,,50,50,0.00,
Matthew Wright,2562968,K,SF,@TB,,,,,,,,,,,0.00,51,51,0.00,0.0
Cade York,2567487,K,FA,Bye,,,,,,,,,,,,52,52,0.00,
Greg Zuerlein,2534797,K,NYJ,@ARI,,,,,,,,,,,0.00,53,53,0.00,0.0
