PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Jonathan Taylor,2564148,RB,IND,TEN,,,,153,2,2,21,1,,,,,39.40,12,2,14,2,2,100,2,1,,1,36.40
James Cook,2567328,RB,BUF,@CAR,,,,216,2,,,,,,,,35.80,19,,19,,,,,2,,2,33.60
Breece Hall,2568030,RB,NYJ,@CIN,4,1,,133,2,2,14,,,,,,49.26,18,2,20,2,3,67,1,3,2,3,31.86
Saquon Barkley,2560968,RB,PHI,NYG,,,,150,1,4,24,1,,,,,45.00,14,4,18,4,5,80,2,2,2,4,31.40
Chase Brown,2569642,RB,CIN,NYJ,,,,73,1,3,32,1,,,,,42.60,12,3,15,3,3,100,1,3,1,5,24.00
RJ Harvey,2574090,RB,DEN,DAL,,,,46,2,1,5,1,,,,,37.30,7,1,8,1,1,100,1,1,1,6,23.60
Kimani Vidal,2572486,RB,LAC,MIN,,,,117,1,1,10,,,,,,22.00,23,1,24,1,2,50,,4,2,7,19.20
Derrick Henry,2556075,RB,BAL,CHI,,,,71,2,,,,,,,,25.10,21,,21,,1,,,5,1,8,19.10
De'Von Achane,2570062,RB,MIA,@ATL,,,,67,,5,24,1,,,,,34.50,18,5,23,5,7,71,2,6,2,9,17.60
Javonte Williams,2566049,RB,DAL,@DEN,,,,41,2,1,8,,,,,,20.30,13,1,14,1,2,50,,3,3,10,17.40
Samaje Perine,2558138,RB,CIN,NYJ,,,,94,1,1,6,,,,,,42.60,9,1,10,1,1,100,,,,11,17.10
Kareem Hunt,2557917,RB,KC,WAS,,,,40,1,1,2,1,,,,,22.30,9,1,10,1,1,100,1,1,1,12,16.70
Tyjae Spears,2569795,RB,TEN,@IND,,,,59,1,3,23,,,,,,23.50,9,3,12,3,3,100,1,3,1,13,15.70
Isaiah Davis,2572360,RB,NYJ,@CIN,,,,65,,5,44,,,,1,,49.26,7,5,12,5,5,100,,,,14,15.40
D'Andre Swift,2563965,RB,CHI,@BAL,,,,45,1,2,26,,,,,,18.00,11,2,13,2,2,100,,4,3,15,14.10
J.K. Dobbins,2563548,RB,DEN,DAL,,,,111,,2,10,,,,,,37.30,15,2,17,2,2,100,,,,16,13.10
Ollie Gordon II,2574322,RB,MIA,@ATL,,,,46,,1,20,1,,,,,34.50,10,1,11,1,1,100,,,,17,13.10
Woody Marks,2574174,RB,HOU,SF,,,,62,,4,49,,,,,,28.30,11,4,15,4,4,100,,,,18,13.10
Josh Jacobs,2562377,RB,GB,@PIT,,,,33,1,3,12,,,,,,20.20,13,3,16,3,3,100,,2,1,19,12.00
Chuba Hubbard,2565899,RB,CAR,BUF,,,,34,1,,,,,,,,19.40,12,,12,,1,,,1,,20,10.90
Tank Bigsby,2569882,RB,PHI,NYG,,,,104,,,,,,,,,45.00,9,,9,,,,,,,21,10.40
Cam Skattebo,2574427,RB,NYG,@PHI,,,,12,,1,18,1,,,,,19.10,3,1,4,1,2,50,1,,,22,9.50
Jeremy McNichols,2557977,RB,WAS,@KC,,,,4,,5,64,,,,,,13.50,1,5,6,5,6,83,,,,23,9.30
Tyler Allgeier,2567232,RB,ATL,MIA,,,,4,1,2,10,,,,,,14.10,4,2,6,2,2,100,,1,1,24,8.40
Christian McCaffrey,2557997,RB,SF,@HOU,,,,25,,3,43,,,,,,9.20,8,3,11,3,6,50,,,,25,8.30
Jaylen Warren,2568493,RB,PIT,GB,,,,62,,2,11,,,,,,11.40,13,2,15,2,3,67,,,,26,8.30
Sean Tucker,2571629,RB,TB,@NO,,,,42,1,,,,,,,1,16.40,12,,12,,,,,3,2,27,8.20
Emanuel Wilson,2570912,RB,GB,@PIT,,,,61,,3,26,,,,,1,20.20,11,3,14,3,4,75,,,,28,8.20
Nick Chubb,2561021,RB,HOU,SF,,,,56,,2,13,,,,,,28.30,17,2,19,2,2,100,,,,29,7.90
Rachaad White,2568315,RB,TB,@NO,,,,35,,2,26,,,,,,16.40,13,2,15,2,2,100,,,,30,7.10
Rico Dowdle,2565295,RB,CAR,BUF,,,,54,,,,,,,,,19.40,8,,8,,,,,,,31,6.90
