PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Khalil Mack,2543463,LB,LAC,LV,8,2,6,5,,2,,,,,,,,1,4,,,5.34,1,44.20,38.86
Nicholas Morrow,2559054,LB,PHI,WAS,10,1,3,3,,1,,,,,,,,,3,,,9.44,2,31.10,21.66
Bobby Wagner,2532966,LB,SEA,@NYG,9,8,2,2,,,,,,,,,,,2,,,11.26,3,26.30,15.04
Quincy Williams,2562954,LB,NYJ,KC,10,3,,2,,,,,,,,,,2,1,,,10.88,4,25.30,14.42
Quay Walker,2567631,LB,GB,DET,10,9,,1,,,,,,,,,,,,,,11.70,5,21.90,10.2
Josh Allen,2562619,LB,JAX,ATL,3,,3,2,,1,,,,,,,,,3,,,5.48,6,18.50,13.02
Roquan Smith,2560877,LB,BAL,@CLE,6,4,,1,,,,,,,,,,2,1,,,11.47,7,18.40,6.93
Foye Oluokun,2561132,LB,JAX,ATL,8,1,,3,,,1,,,,,,,,,,,13.67,8,18.10,4.43
Nik Bonitto,2567517,LB,DEN,@CHI,3,1,2.5,2,,1,,,,,,,,,2,,,2.84,9,17.60,14.76
Azeez Al-Shaair,2562462,LB,TEN,CIN,5,4,,1,,,,,,,,,,2,2,,,9.30,10,17.40,8.1
Uchenna Nwosu,2560826,LB,SEA,@NYG,4,2,2,1,,1,,,,,,,,,2,,,6.27,11,17.20,10.93
Bobby Okereke,2562416,LB,NYG,SEA,6,4,,2,,,,,,,,,,1,,,,11.67,12,16.90,5.23
Jordyn Brooks,2565135,LB,SEA,@NYG,4,6,2,1,,,1,,,,,,,,1,,8,10.26,13,16.87,6.61
Matt Milano,2557969,LB,BUF,MIA,8,2,,,,1,,,,,,,,,,,,10.98,14,16.70,5.72
C.J. Mosley,2543464,LB,NYJ,KC,4,7,,,1,,,,,,,,,1,,,,11.38,15,16.20,4.82
Andrew Van Ginkel,2562768,LB,MIA,@BUF,4,1,2,3,,,,,,,,,,,2,,,8.33,16,16.10,7.77
Zach Cunningham,2558094,LB,PHI,WAS,9,4,,,,,,,,,,,,,,,,7.97,17,15.90,7.93
