PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jake Elliott,2558172,K,PHI,WAS,2,,,,1,2,1,,,,6.19,1,18.00,11.81
Brett Maher,2540243,K,LA,@IND,2,,,,,1,2,,,,7.17,2,16.00,8.83
Tyler Bass,2563596,K,BUF,MIA,6,,,,1,,1,,,,7.43,3,14.00,6.57
Brandon McManus,2541556,K,JAX,ATL,2,,,,1,1,1,,,,6.74,4,14.00,7.26
Brandon Aubrey,2571750,K,DAL,NE,3,,,2,1,,,,,,6.56,5,12.00,5.44
Ka'imi Fairbairn,2556521,K,HOU,PIT,3,,,,3,,,,,,7.26,6,12.00,4.74
Harrison Butker,2558245,K,KC,@NYJ,2,,,1,2,,,,,,7.17,7,11.00,3.83
Nick Folk,2507225,K,TEN,CIN,3,,,,1,,1,,,,6.71,8,11.00,4.29
Blake Grupe,2571234,K,NO,TB,,,,,2,1,,,,,6.76,9,10.00,3.24
Chase McLaughlin,2563203,K,TB,@NO,2,,,1,,,1,,,,6.74,10,10.00,3.26
Riley Patterson,2567013,K,CLE,BAL,4,,,,2,,,,,,7.31,11,10.00,2.69
Wil Lutz,2556601,K,DEN,@CHI,4,,,,,,1,,,,6.75,12,9.00,2.25
Eddy Pineiro,2560842,K,CAR,MIN,1,,,1,,,1,,,,7.03,13,9.00,1.97
Anders Carlson,2569750,K,GB,DET,,,,,1,,1,,,,6.70,14,8.00,1.3
Cameron Dicker,2568435,K,LAC,LV,3,,,,1,,,,,,6.80,15,7.50,0.7
Joey Slye,2563132,K,WAS,@PHI,4,,,1,,,,,,,5.72,16,7.00,1.28
Chris Boswell,2550545,K,PIT,@HOU,,,,1,1,,,,,,7.36,17,6.00,-1.36
Jason Myers,2553112,K,SEA,@NYG,3,,,,1,,,,,,7.04,18,6.00,-1.04
Daniel Carlson,2560993,K,LV,@LAC,2,,,1,,,,,,,6.69,19,5.00,-1.69
Graham Gano,71309,K,NYG,SEA,,,,,,,1,,,,6.57,20,5.00,-1.57
Dustin Hopkins,2539227,K,CLE,BAL,,,,,,,1,,,,6.78,21,5.00,-1.78
Jake Moody,2570308,K,SF,ARI,5,,,,,,,,,,7.00,22,5.00,-2.0
Matt Prater,2506677,K,ARI,@SF,1,,,,1,,,,,,6.46,23,4.00,-2.46
Cairo Santos,2550636,K,CHI,DEN,4,,,,,,,,,,7.45,24,4.00,-3.45
Justin Tucker,2536340,K,BAL,@CLE,4,,,,,,,,,,7.20,25,4.00,-3.2
Greg Zuerlein,2534797,K,NYJ,KC,1,,,,1,,,,,,6.04,26,4.00,-2.04
Greg Joseph,2561534,K,MIN,@CAR,3,,,,,,,,,,7.35,27,3.00,-4.35
Evan McPherson,2565953,K,CIN,@TEN,,,,1,,,,,,,6.34,28,3.00,-3.34
Chad Ryland,2570125,K,NE,@DAL,,,,1,,,,,,,5.94,29,3.00,-2.94
Jason Sanders,2561153,K,MIA,@BUF,2,,,,,,,,,,7.38,30,2.00,-5.38
Matt Gay,2562271,K,IND,LA,1,,,,,,,,,,7.06,31,1.00,-6.06
Younghoe Koo,2559205,K,ATL,@JAX,1,,,,,,,,,,7.39,32,1.00,-6.39
