PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TangetsReceptions,Rank,TotalPoints
Eric Saubert,2558023,TE,DEN,,,,,,,,,,,,12.77,,,,,167,0.00
Mason Schreck,2558864,TE,FA,,,,,,,,,,,,,,,,,168,0.00
Irv Smith,2562738,TE,MIN,,,,,,,,,,,,16.71,,,,,169,0.00
Kaden Smith,2562740,TE,NYG,,,,,,,,,,,,14.40,,,,,170,0.00
Durham Smythe,2560880,TE,MIA,,,,,,,,,,,,14.71,,,,,171,0.00
Dylan Soehner,2565711,TE,NO,,,,,,,,,,,,11.44,,,,,172,0.00
Matt Sokol,2562980,TE,FA,,,,,,,,,,,,,,,,,173,0.00
Jeremy Sprinkle,2557886,TE,DAL,,,,,,,,,,,,6.16,,,,,174,0.00
Jace Sternberger,2562744,TE,FA,,,,,,,,,,,,,,,,,175,0.00
Stephen Sullivan,2565192,TE,FA,,,,,,,,,,,,,,,,,176,0.00
Tyrone Swoopes,2559263,TE,FA,,,,,,,,,,,,,,,,,177,0.00
Tim Tebow,497135,TE,FA,,,,,,,,,,,,,,,,,178,0.00
Hunter Thedford,2565585,TE,FA,,,,,,,,,,,,,,,,,179,0.00
Jordan Thomas,2560896,TE,FA,,,,,,,,,,,,,,,,,180,0.00
Logan Thomas,2543767,TE,WAS,,,,,,,,,,,,,,,,,181,0.00
Colin Thompson,2559268,TE,CAR,,,,,,,,,,,,6.31,,,,,182,0.00
Noah Togiai,2564865,TE,FA,,,,,,,,,,,,,,,,,183,0.00
Levine Toilolo,2540203,TE,NYG,,,,,,,,,,,,14.40,,,,,184,0.00
Eric Tomlinson,2553744,TE,FA,,,,,,,,,,,,,,,,,185,0.00
Ross Travis,2554630,TE,FA,,,,,,,,,,,,,,,,,186,0.00
Carl Tucker,2566665,TE,FA,,,,,,,,,,,,,,,,,187,0.00
Nick Vannett,2555289,TE,NO,,,,,,,,,,,,11.44,,,,,188,0.00
Andrew Vollert,2561284,TE,FA,,,,,,,,,,,,,,,,,189,0.00
Delanie Walker,2495966,TE,FA,,,,,,,,,,,,,,,,,190,0.00
Darren Waller,2552408,TE,LV,,,,,,,,,,,,,,,,,191,0.00
Kahale Warring,2562771,TE,FA,,,,,,,,,,,,,,,,,192,0.00
Trevon Wesco,2562777,TE,NYJ,,,,,,,,,,,,13.40,,,,,193,0.00
Nate Wieting,2563815,TE,FA,,,,,,,,,,,,,,,,,194,0.00
Mitchell Wilcox,2563749,TE,CIN,,,,,,,,,,,,9.04,,,,,195,0.00
Carson Williams,2565669,TE,FA,,,,,,,,,,,,,,,,,196,0.00
Maxx Williams,2552468,TE,ARI,,,,,,,,,,,,8.31,,,,,197,0.00
Luke Willson,2541199,TE,FA,,,,,,,,,,,,,,,,,198,0.00
Caleb Wilson,2562603,TE,FA,,,,,,,,,,,,,,,,,199,0.00
Jason Witten,2505629,TE,FA,,,,,,,,,,,,,,,,,200,0.00
Eli Wolf,2565354,TE,FA,,,,,,,,,,,,,,,,,201,0.00
Ethan Wolf,2561422,TE,FA,,,,,,,,,,,,,,,,,202,0.00
Kenny Yeboah,2565768,TE,FA,,,,,,,,,,,,,,,,,203,0.00
Deon Yelder,2561293,TE,FA,,,,,,,,,,,,,,,,,204,0.00
