PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Tyreek Hill,2556214,WR,KC,@PHI,,,,,11,186,3,,,,,16.05,1,42.10,16.05,26.05
Deebo Samuel,2562721,WR,SF,SEA,,,,1,8,156,2,,,,,14.60,2,31.70,14.6,17.1
D.J. Moore,2560813,WR,CAR,@DAL,,,,6,8,113,2,,,,,13.00,3,30.40,13.0,17.4
Terry McLaurin,2562489,WR,WAS,@ATL,,,,,6,123,2,,,,,11.25,4,27.30,11.25,16.05
Randall Cobb,2495448,WR,GB,PIT,,,,,5,69,2,,,,,4.97,5,21.40,4.97,16.43
Diontae Johnson,2562674,WR,PIT,@GB,,,,,9,92,1,,,,,13.27,6,21.40,13.27,8.13
Corey Davis,2557848,WR,NYJ,TEN,,,,,4,111,1,,,,1,8.73,7,18.10,8.73,9.37
Kalif Raymond,2556661,WR,DET,@CHI,,,,,3,46,2,,,,,6.21,8,18.10,6.21,11.89
Van Jefferson,2564358,WR,LA,ARI,,,,,6,90,1,,,,,7.70,9,18.00,7.7,10.3
Darnell Mooney,2563707,WR,CHI,DET,,,,10,5,125,,,,,,8.13,10,17.70,8.13,9.57
Justin Jefferson,2564556,WR,MIN,CLE,,,,,6,84,1,,,,,15.61,11,17.40,15.61,1.79
Marquise Brown,2562379,WR,BAL,@DEN,,,,,4,91,1,,,,,11.32,12,17.10,11.32,5.78
Tyler Boyd,2555466,WR,CIN,JAX,,,,,9,118,,,,,,10.60,13,16.30,10.6,5.7
Kenny Golladay,2558052,WR,NYG,@NO,,,,,6,116,,,,,,8.81,14,16.30,8.81,7.49
DeVante Parker,2552409,WR,MIA,IND,,,,,4,77,1,,,,,,15,15.70,,
DeVonta Smith,2566409,WR,PHI,KC,,,,,7,122,,,,,,8.30,16,15.70,8.3,7.4
Jamison Crowder,2552415,WR,NYJ,TEN,,,,,7,61,1,,,,,9.96,17,15.60,9.96,5.64
A.J. Green,2495450,WR,ARI,@LA,,,,,5,67,1,,,,,7.81,18,15.20,7.81,7.39
DK Metcalf,2562685,WR,SEA,@SF,,,,,4,65,1,,,,,14.89,19,14.50,14.89,-0.39
Amari Cooper,2552487,WR,DAL,CAR,,,,,3,69,1,,,,,12.36,20,14.40,12.36,2.04
John Ross,2558010,WR,NYG,@NO,,,,,3,77,1,,,,1,1.36,21,14.20,1.36,12.84
Hunter Renfrow,2562712,WR,LV,@LAC,,,,,6,45,1,,,,1,7.49,22,14.00,7.49,6.51
Laviska Shenault Jr.,2564232,WR,JAX,@CIN,,,,11,6,99,,,,,,7.68,23,14.00,7.68,6.32
Stefon Diggs,2552608,WR,BUF,HOU,,,,,7,114,,,,,1,15.39,24,12.90,15.39,-2.49
Jakobi Meyers,2562492,WR,NE,TB,45,,,,8,70,,,,,,11.05,25,12.80,11.05,1.75
Robert Woods,2540169,WR,LA,ARI,,,,,4,48,1,,,,,10.71,26,12.80,10.71,2.09
Amon-Ra St. Brown,2566073,WR,DET,@CHI,,,,,6,70,,,,,,3.23,27,11.70,3.23,8.47
Emmanuel Sanders,497322,WR,BUF,HOU,,,,7,5,74,,,,,,10.86,28,11.60,10.86,0.74
Calvin Ridley,2560854,WR,ATL,WAS,,,,,7,80,,,,,,15.12,29,11.50,15.12,-3.62
Mike Evans,2543468,WR,TB,@NE,,,,,7,75,,,,,,12.07,30,11.00,12.07,-1.07
Kadarius Toney,2566376,WR,NYG,@NO,,,,1,6,78,,,,,,5.70,31,10.90,5.7,5.2
Ja'Marr Chase,2565941,WR,CIN,JAX,,,,,6,77,,,,,,13.18,32,10.70,13.18,-2.48
Keelan Cole,2559153,WR,NYJ,TEN,,,,,3,92,,,,,,3.32,33,10.70,3.32,7.38
Quintez Cephus,2563926,WR,DET,@CHI,,,,,4,83,,,,,,,34,10.30,,
Ced Wilson,2560936,WR,DAL,CAR,,,,,2,30,1,,,,,3.20,35,10.00,3.2,6.8
James Proche,2563572,WR,BAL,@DEN,,,,,5,74,,,,,,0.78,36,9.90,0.78,9.12
Antonio Brown,2508061,WR,TB,@NE,,,,,7,63,,,,,,11.06,37,9.80,11.06,-1.26
Davante Adams,2543495,WR,GB,PIT,,,,,6,64,,,,,,18.71,38,9.40,18.71,-9.31
Deonte Harris,2563155,WR,NO,NYG,,,,,5,52,,,,,,8.97,39,9.40,8.97,0.43
Nelson Agholor,2552600,WR,NE,TB,,,,4,3,55,,,,,,9.60,40,9.10,9.6,-0.5
DeAndre Carter,2553502,WR,WAS,@ATL,,,,,1,24,,1,,,,1.22,41,8.90,1.22,7.68
Brandin Cooks,2543498,WR,HOU,@BUF,,,,,5,47,,,,,,17.00,42,8.90,17.0,-8.1
Cooper Kupp,2557898,WR,LA,ARI,,,,,5,64,,,,,,16.60,43,8.90,16.6,-7.7
Michael Pittman,2564136,WR,IND,@MIA,,,,,6,59,,,,,,9.64,44,8.90,9.64,-0.74
Josh Reynolds,2558194,WR,TEN,@NYJ,,,,,6,59,,,,,,3.41,45,8.90,3.41,5.49
James Washington,2560920,WR,PIT,@GB,,,,,4,69,,,,,,6.47,46,8.90,6.47,2.43
Chester Rogers,2556396,WR,TEN,@NYJ,,,,,5,63,,,,,,5.88,47,8.80,5.88,2.92
DeAndre Hopkins,2540165,WR,ARI,@LA,,,,,4,67,,,,,,13.15,48,8.70,13.15,-4.45
Freddie Swain,2565195,WR,SEA,@SF,,,,,3,20,1,,,,1,4.84,49,8.50,4.84,3.66
Marquez Callaway,2565310,WR,NO,NYG,,,,,2,74,,,,,,7.74,50,8.40,7.74,0.66
Kendrick Bourne,2558914,WR,NE,TB,,,,,5,58,,,,,,6.53,51,8.30,6.53,1.77
Rashard Higgins,2555468,WR,CLE,@MIN,,,,,4,63,,,,,,4.59,52,8.30,4.59,3.71
Greg Ward,2559278,WR,PHI,KC,,,,,1,15,1,,,,,2.31,53,8.00,2.31,5.69
