PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Tyler Bass,2563596,K,BUF,HOU,4,,,3,1,,,,,,7.03,1,16.00,7.03,8.97
Matt Prater,2506677,K,ARI,@LA,4,,,2,,,1,,,,6.80,2,15.00,6.8,8.2
Ryan Succop,89802,K,TB,@NE,1,,,2,,2,,,,1,7.75,3,14.00,7.75,6.25
Justin Tucker,2536340,K,BAL,@DEN,2,,,1,,2,,,,,7.60,4,13.00,7.6,5.4
Randy Bullock,2533444,K,TEN,@NYJ,1,,,,1,2,,,,,7.78,5,12.00,7.78,4.22
Jake Elliott,2558172,K,PHI,KC,3,,,2,1,,,,,,6.34,6,12.00,6.34,5.66
Rodrigo Blankenship,2564106,K,IND,@MIA,3,,,,1,1,,,,,,7,10.00,,
Matt Ammendola,2565555,K,NYJ,TEN,3,,,2,,,,,,,0.00,8,9.00,0.0,9.0
Mason Crosby,2507232,K,GB,PIT,3,,,2,,,,,,,7.77,9,9.00,7.77,1.23
Matt Gay,2562271,K,LA,ARI,2,,,1,,1,,,,,7.43,10,9.00,7.43,1.57
Chase McLaughlin,2563203,K,CLE,@MIN,,,,,,1,1,,,,7.33,11,9.00,7.33,1.67
Chris Boswell,2550545,K,PIT,@GB,2,,,,,,1,,,,6.59,12,7.00,6.59,0.41
Graham Gano,71309,K,NYG,@NO,1,,,1,,1,,,,1,6.60,13,7.00,6.6,0.4
Harrison Butker,2558245,K,KC,@PHI,6,,,,,,,,,,6.56,14,6.00,6.56,-0.56
Younghoe Koo,2559205,K,ATL,WAS,3,,,1,,,,,,,7.88,15,6.00,7.88,-1.88
Evan McPherson,2565953,K,CIN,JAX,3,,,,1,,,,,,6.64,16,6.00,6.64,-0.64
Cairo Santos,2550636,K,CHI,DET,3,,,,1,,,,,,7.02,17,6.00,7.02,-1.02
Greg Zuerlein,2534797,K,DAL,CAR,3,,,,1,,,,,,6.92,18,6.00,6.92,-0.92
Nick Folk,2507225,K,NE,TB,2,,,1,,,,,,,6.61,19,5.00,6.61,-1.61
Jason Sanders,2561153,K,MIA,IND,2,,,,1,,,,,,6.65,20,5.00,6.65,-1.65
Zane Gonzalez,2558178,K,CAR,@DAL,4,,,,,,,,,,6.80,21,4.00,6.8,-2.8
Jason Myers,2553112,K,SEA,@SF,4,,,,,,,,,,7.68,22,4.00,7.68,-3.68
Tristan Vizcaino,2562807,K,LAC,LV,4,,,,,,,,,,7.00,23,4.00,7.0,-3.0
Aldrick Rosas,2556771,K,FA,Bye,3,,,,,,,,,,,24,3.00,,
Matthew Wright,2562968,K,JAX,@CIN,3,,,,,,,,,,5.25,25,3.00,5.25,-2.25
Daniel Carlson,2560993,K,LV,@LAC,2,,,,,,,,,,7.24,26,2.00,7.24,-5.24
Ryan Santoso,2561269,K,DET,@CHI,2,,,,,,,,,,6.42,27,2.00,6.42,-4.42
Greg Joseph,2561534,K,MIN,CLE,1,,,,,,,,,,7.53,28,1.00,7.53,-6.53
Brandon McManus,2541556,K,DEN,BAL,1,,,,,,,,,,7.42,29,1.00,7.42,-6.42
Roberto Aguayo,2555408,K,FA,Bye,,,,,,,,,,,,30,0.00,,
Mike Badgley,2560965,K,IND,@MIA,,,,,,,,,,,0.00,31,0.00,0.0,0.0
Dan Bailey,2495259,K,FA,Bye,,,,,,,,,,,,32,0.00,,
Chris Blewitt,2562800,K,WAS,@ATL,,,,,,,,,,,0.00,33,0.00,0.0,0.0
Chandler Catanzaro,2550325,K,FA,Bye,,,,,,,,,,,,34,0.00,,
Dominik Eberle,2565360,K,FA,Bye,,,,,,,,,,,,35,0.00,,
Ka'imi Fairbairn,2556521,K,HOU,@BUF,,,,,,,,,,,5.95,36,0.00,5.95,-5.95
Sam Ficken,2557430,K,TEN,@NYJ,,,,,,,,,,,,37,0.00,,
Kai Forbath,2495150,K,FA,Bye,,,,,,,,,,,,38,0.00,,
Stephen Gostkowski,2506922,K,FA,Bye,,,,,,,,,,,,39,0.00,,
