PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Travis Kelce,2540258,TE,KC,,,,5,,91,1144,12,,,1,1,15.48,2,91,93,91,127,72,27,3,17,1,235.80
Mark Andrews,2560957,TE,BAL,,,,8,,61,702,5,,,1,1,13.14,3,61,64,61,99,62,26,1,5,2,131.50
T.J. Hockenson,2562378,TE,MIN,,,,,,65,730,4,,,2,1,10.67,,65,65,65,100,65,14,1,5,3,131.50
George Kittle,2558266,TE,SF,,,,,,46,593,6,,,,1,6.84,,46,46,46,64,72,9,,2,4,123.20
Evan Engram,2557858,TE,JAX,,,,,,61,610,4,,,1,,9.41,1,61,62,61,84,73,7,2,4,5,119.20
Taysom Hill,2558954,TE,NO,216,2,,449,5,7,66,2,,,,2,7.59,68,7,75,7,11,64,2,10,5,6,111.64
Pat Freiermuth,2566442,TE,PIT,,,,,,53,630,2,,,,,10.92,,53,53,53,82,65,8,,4,7,103.20
Juwan Johnson,2564676,TE,NO,,,,,,35,416,7,,,,,7.59,,35,35,35,55,64,10,,2,8,101.90
Cole Kmet,2563704,TE,CHI,,,,9,,39,433,5,,,,1,7.11,2,39,41,39,55,71,8,,4,9,97.90
David Njoku,2557986,TE,CLE,,,,-8,,51,551,3,,,,1,6.86,2,51,53,51,67,76,26,1,5,10,95.80
Gerald Everett,2557889,TE,LAC,,,,,,52,532,2,,,1,,9.99,1,52,53,52,79,66,13,,7,11,94.90
Dawson Knox,2562681,TE,BUF,,,,,,43,466,4,,,,,6.36,,43,43,43,58,74,6,1,2,12,94.60
Dallas Goedert,2560995,TE,PHI,,,,,,43,544,3,,,,1,6.98,,43,43,43,53,81,6,,2,13,93.60
Zach Ertz,2540158,TE,ARI,,,,,,47,406,4,,,2,,11.66,,47,47,47,69,68,23,1,8,14,92.10
Tyler Higbee,2555364,TE,LA,,,,,,56,482,1,,,,,9.71,,56,56,56,86,65,10,,6,15,86.60
Dalton Schultz,2560866,TE,DAL,,,,,,43,445,3,,,,1,8.62,,43,43,43,66,65,14,,7,16,83.70
Noah Fant,2562383,TE,SEA,,,,,,42,414,3,,,,,10.11,,42,42,42,53,79,7,,3,17,80.40
Tyler Conklin,2561027,TE,NYJ,,,,3,,46,425,3,,,,2,10.96,2,46,48,46,73,63,3,2,3,18,79.80
Will Dissly,2561046,TE,SEA,,,,,,33,330,3,,,,,10.11,,33,33,33,37,89,6,,,19,78.80
Hayden Hurst,2560747,TE,CIN,,,,,,48,400,2,,,,,11.04,,48,48,48,63,76,6,1,4,20,77.70
Cade Otton,2568312,TE,TB,,,,,,37,357,2,,,,,16.40,,37,37,37,51,73,9,,5,21,75.40
Chigoziem Okonkwo,2567658,TE,TEN,,,,2,,25,374,2,,,1,,10.09,3,25,28,25,36,69,6,,,22,71.70
Hunter Henry,2555341,TE,NE,,,,,,30,415,2,,,,,10.30,,30,30,30,46,65,7,,3,23,70.20
Robert Tonyan,2559270,TE,GB,,,,,,46,376,1,,,,,12.51,,46,46,46,58,79,5,,,24,70.00
Austin Hooper,2555415,TE,TEN,,,,,,34,380,2,,,,,10.09,,34,34,34,47,72,6,,1,25,68.70
Jordan Akins,2560951,TE,HOU,,,,,,28,348,3,,,,1,12.89,,28,28,28,40,70,12,,4,26,65.80
Mike Gesicki,2560994,TE,MIA,,,,,,25,274,4,,,,,8.48,,25,25,25,40,63,8,1,5,27,63.90
Kyle Pitts,2565830,TE,ATL,,,,,,28,356,2,,,,,9.17,,28,28,28,59,47,5,,3,28,61.60
Foster Moreau,2562317,TE,LV,,,,2,,27,336,2,,,,1,8.86,,27,27,27,48,56,5,,2,29,58.30
Greg Dulcich,2567520,TE,DEN,,,,,,29,372,1,,,,,9.43,,29,29,29,47,62,1,,1,30,57.70
Noah Gray,2566178,TE,KC,,,,1,1,25,265,1,,,,,15.48,1,25,26,25,31,81,3,2,2,31,51.10
Daniel Bellinger,2567985,TE,NYG,,,,2,1,25,199,2,,,,,9.99,1,25,26,25,30,83,6,1,1,32,50.60
Kylen Granson,2566145,TE,IND,,,,,,31,302,,,,,1,10.15,1,31,32,31,40,78,3,,,33,49.80
Isaiah Likely,2567283,TE,BAL,,,,,,24,254,2,,,,,13.14,,24,24,24,40,60,9,1,1,34,49.40
Jelani Woods,2567724,TE,IND,,,,,,18,241,3,,,,1,10.15,,18,18,18,27,67,3,1,2,35,49.10
Darren Waller,2552408,TE,LV,,,,,,19,223,2,,,,,8.86,,19,19,19,27,70,6,1,3,36,43.80
C.J. Uzomah,2552559,TE,NYJ,,,,,,17,178,2,,,,,10.96,,17,17,17,19,89,,1,1,37,42.70
Logan Thomas,2543767,TE,WAS,,,,,,25,216,1,,,,,7.62,,25,25,25,43,58,5,,3,38,41.80
Harrison Bryant,2563767,TE,CLE,,,,8,,27,200,1,,,,,6.86,1,27,28,27,37,73,13,,4,39,40.30
