PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Justin Jefferson,2564556,WR,MIN,34,,,24,1,111,1623,7,,,1,,26.63,4,111,115,111,158,70,24,1,12,1,274.26
Tyreek Hill,2556214,WR,MIA,,,,30,,109,1529,7,,1,,1,24.15,6,109,115,109,152,72,7,2,5,2,264.40
Davante Adams,2543495,WR,LV,,,,-1,,86,1275,12,,,,1,32.18,3,86,89,86,151,57,18,,6,3,242.90
Stefon Diggs,2552608,WR,BUF,,,,-3,,99,1299,10,,,,1,27.76,1,99,100,99,142,70,19,3,9,4,238.10
A.J. Brown,2562238,WR,PHI,,,,,,74,1201,10,,,,2,31.97,,74,74,74,118,63,12,2,5,5,216.50
CeeDee Lamb,2563848,WR,DAL,,,,47,,81,1087,6,,,,,24.69,10,81,91,81,124,65,8,1,3,6,193.30
Amon-Ra St. Brown,2566073,WR,DET,,,,95,,89,974,6,,,,,28.89,8,89,97,89,119,75,13,5,8,7,187.40
Jaylen Waddle,2566292,WR,MIA,,,,17,,62,1117,7,,,,1,24.15,2,62,64,62,101,61,8,,4,8,186.10
Tyler Lockett,2552430,WR,SEA,,,,,,78,964,8,,,,2,30.49,,78,78,78,108,72,7,1,1,9,182.80
Christian Kirk,2560781,WR,JAX,,,,7,,73,966,7,,,,1,23.41,4,73,77,73,116,63,16,3,10,10,177.30
Ja'Marr Chase,2565941,WR,CIN,,,,8,,71,881,8,,,,1,25.70,5,71,76,71,110,65,21,2,10,11,175.50
Amari Cooper,2552487,WR,CLE,,,1,,,67,932,7,,,,,27.14,,67,67,67,115,58,16,2,7,12,168.40
Cooper Kupp,2557898,WR,LA,,,,52,1,75,812,6,,,,2,21.41,9,75,84,75,98,77,10,1,6,13,165.53
DK Metcalf,2562685,WR,SEA,,,,,,79,924,6,,,,2,30.49,,79,79,79,119,66,22,,5,14,163.90
Tee Higgins,2563731,WR,CIN,,,,,,65,894,6,,,1,,25.70,,65,65,65,93,70,6,2,3,15,159.90
Terry McLaurin,2562489,WR,WAS,,,,17,,68,1015,3,,,,1,29.04,6,68,74,68,104,65,7,,,16,157.60
Garrett Wilson,2568048,WR,NYJ,,,,4,,67,966,4,,,,1,30.08,4,67,71,67,110,61,17,1,10,17,154.50
DeVonta Smith,2566409,WR,PHI,,,,,,71,901,5,,,,1,31.97,,71,71,71,103,69,8,,3,18,153.60
Brandon Aiyuk,2565093,WR,SF,,,,7,,60,774,7,,,,1,27.45,1,60,61,60,90,67,12,,2,19,153.20
Chris Olave,2567973,WR,NO,,,,,,63,940,3,,,1,1,27.41,,63,63,63,102,62,10,,2,20,152.10
Zay Jones,2557863,WR,JAX,,,,21,,74,764,5,,,1,,23.41,3,74,77,74,106,70,14,4,7,21,147.50
Mike Evans,2543468,WR,TB,,,,,,64,888,3,,,,,25.99,,64,64,64,108,59,12,,5,22,143.90
Michael Pittman,2564136,WR,IND,,,,30,,86,815,2,,,,2,26.36,2,86,88,86,121,71,8,,5,23,141.60
Chris Godwin,2558105,WR,TB,,,,5,,81,785,3,,,,,25.99,3,81,84,81,116,70,14,3,10,24,139.30
Deebo Samuel,2562721,WR,SF,,,,228,3,54,612,2,,,,3,27.45,41,54,95,54,91,59,12,7,10,25,137.70
JuJu Smith-Schuster,2558149,WR,KC,,,,,,71,850,3,,,,3,23.69,,71,71,71,92,77,14,,3,26,137.50
Gabe Davis,2563602,WR,BUF,,,,,,42,752,6,,,,,27.76,,42,42,42,77,55,9,1,5,27,135.60
Adam Thielen,2541785,WR,MIN,,,,,,66,686,5,,,1,,26.63,,66,66,66,95,69,17,,8,28,135.30
Curtis Samuel,2558066,WR,WAS,,,,189,1,57,600,3,,,,1,29.04,36,57,93,57,84,68,9,7,8,29,131.10
D.J. Moore,2560813,WR,CAR,,,,45,,51,678,5,,,,,34.04,9,51,60,51,97,53,6,3,4,30,129.50
Jerry Jeudy,2563896,WR,DEN,,,,1,,49,663,6,,,,,28.82,1,49,50,49,76,64,7,2,6,31,128.60
Tyler Boyd,2555466,WR,CIN,23,,,,,50,690,5,,,1,,25.70,,50,50,50,71,70,8,,3,32,126.92
Josh Palmer,2566502,WR,LAC,,,,4,,66,714,3,,,,1,24.54,1,66,67,66,97,68,7,1,3,33,126.00
Donovan Peoples-Jones,2563803,WR,CLE,,,,2,,57,782,2,1,,,1,27.14,1,57,58,57,84,68,15,,6,34,123.70
DeAndre Hopkins,2540165,WR,ARI,,,,,,63,713,3,,,,2,28.83,,63,63,63,86,73,14,,1,35,121.20
Mack Hollins,2558262,WR,LV,4,,,40,,51,628,4,,,,,32.18,4,51,55,51,85,60,9,1,5,36,120.66
Christian Watson,2567637,WR,GB,,,,68,2,29,447,7,,,,,27.79,5,29,34,29,47,62,10,1,4,37,120.00
Diontae Johnson,2562674,WR,PIT,,,,25,,77,745,,,,1,1,26.89,7,77,84,77,123,63,13,2,4,38,119.90
Allen Lazard,2560787,WR,GB,,,,,,46,627,5,,,,,27.79,,46,46,46,77,60,11,,3,39,117.40
Mike Williams,2558846,WR,LAC,,,,,,48,693,4,,,,,24.54,,48,48,48,74,65,9,1,1,40,117.30
Drake London,2567250,WR,ATL,,,,,,54,603,4,,,1,2,30.01,,54,54,54,92,59,10,2,9,41,113.50
George Pickens,2568159,WR,PIT,,,,24,1,42,643,2,,,1,,26.89,3,42,45,42,69,61,4,1,3,42,109.40
Marquise Brown,2562379,WR,ARI,,,,,,57,584,3,,,,1,28.83,,57,57,57,88,65,17,,2,43,108.00
Jakobi Meyers,2562492,WR,NE,,,,-11,,52,640,3,,,1,2,26.56,2,52,54,52,73,71,4,,,44,106.60
Courtland Sutton,2560888,WR,DEN,,,,5,,52,688,1,,,,,28.82,1,52,53,52,89,58,11,,6,45,106.40
Parris Campbell,2562495,WR,IND,,,,31,,52,510,3,,,,,26.36,3,52,55,52,72,72,7,1,3,46,100.80
Devin Duvernay,2563551,WR,BAL,,,,84,1,37,407,3,1,,,1,30.76,12,37,49,37,49,76,10,4,5,47,99.00
Isaiah McKenzie,2558129,WR,BUF,,,,49,1,40,404,4,,,,,27.76,8,40,48,40,60,67,8,3,5,48,97.00
Marquez Valdes-Scantling,2560907,WR,KC,,,,-3,,37,632,2,,,,,23.69,1,37,38,37,66,56,10,,3,49,96.80
Darius Slayton,2562736,WR,NYG,,,,,,40,631,2,,,,1,34.27,,40,40,40,62,65,3,,1,50,95.80
K.J. Osborn,2564574,WR,MIN,,,,6,,45,457,4,,,,,26.63,3,45,48,45,73,62,8,,3,51,92.80
Noah Brown,2558091,WR,DAL,,,,,,40,533,3,,,,1,24.69,,40,40,40,62,65,10,1,3,52,92.70
Jahan Dotson,2568321,WR,WAS,,,,-7,,23,338,6,,,1,,29.04,2,23,25,23,41,56,5,1,2,53,86.00
Darnell Mooney,2563707,WR,CHI,,,,2,,40,493,2,,,,,29.64,1,40,41,40,61,66,6,1,3,54,84.90
DeAndre Carter,2553502,WR,LAC,,,,-15,,41,481,3,,,,1,24.54,2,41,43,41,57,72,6,,2,55,83.10
Chris Moore,2555209,WR,HOU,,,,5,,41,480,2,,,,,34.70,2,41,43,41,60,68,12,,1,56,82.70
Chase Claypool,2564970,WR,CHI,1,1,,59,,44,422,1,,,,1,29.64,9,44,53,44,72,61,5,2,3,57,81.54
