PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Ameer Abdullah,2552374,RB,CAR,WAS,,,,,,,,,,,,,4.12,1,0.00,-4.12
Josh Adams,2560949,RB,NO,@PHI,,,,,,,,,,,,,0.00,2,0.00,0.0
Salvon Ahmed,2565090,RB,MIA,@NYJ,,,,,,,,,,,,,4.06,3,0.00,-4.06
Cam Akers,2564319,RB,LA,Bye,,,,,,,,,,,,,,4,0.00,
Darius Anderson,2563824,RB,FA,Bye,,,,,,,,,,,,,,5,0.00,
Alex Armah,2558833,RB,NO,@PHI,,,,,,,,,,,,,0.27,6,0.00,-0.27
Ryquell Armstead,2562622,RB,GB,@MIN,,,,,,,,,,,,,0.00,7,0.00,0.0
Kalen Ballage,2560967,RB,PIT,@LAC,,,,,,,,,,,,,1.03,8,0.00,-1.03
Peyton Barber,2556466,RB,LV,CIN,,,,,,,,,,,,,0.00,9,0.00,0.0
Jake Bargas,2564508,RB,MIN,GB,,,,,,,,,,,,,,10,0.00,
Saquon Barkley,2560968,RB,NYG,@TB,,,,,,,,,,,,,10.77,11,0.00,-10.77
Nick Bawden,2560972,RB,NYJ,MIA,,,,,,,,,,,,,0.00,12,0.00,0.0
Le'Veon Bell,2540175,RB,FA,Bye,,,,,,,,,,,,,,13,0.00,
Levante Bellamy,2563878,RB,DEN,Bye,,,,,,,,,,,,,,14,0.00,
Nick Bellore,2495262,RB,SEA,ARI,,,,,,,,,,,,,0.00,15,0.00,0.0
Eno Benjamin,2564889,RB,ARI,@SEA,,,,,,,,,,,,,3.68,16,0.00,-3.68
Giovani Bernard,2540156,RB,TB,NYG,,,,,,,,,,,,,0.00,17,0.00,0.0
Khari Blasingame,2562869,RB,TEN,HOU,,,,,,,,,,,,,,18,0.00,
Brandon Bolden,2532797,RB,NE,@ATL,,,,,,,,,,,,,4.68,19,0.00,-4.68
Reggie Bonnafon,2561184,RB,CAR,WAS,,,,,,,,,,,,,0.00,20,0.00,0.0
Devontae Booker,2555223,RB,NYG,@TB,,,,,,,,,,,,,6.11,21,0.00,-6.11
Mike Boone,2561099,RB,DEN,Bye,,,,,,,,,,,,,,22,0.00,
Darius Bradwell,2565015,RB,LAC,PIT,,,,,,,,,,,,,0.00,23,0.00,0.0
Matt Breida,2558918,RB,BUF,IND,,,,,,,,,,,,,0.00,24,0.00,0.0
Gary Brightwell,2566364,RB,NYG,@TB,,,,,,,,,,,,,0.68,25,0.00,-0.68
Tony Brooks-James,2563300,RB,FA,Bye,,,,,,,,,,,,,,26,0.00,
Malcolm Brown,2552382,RB,MIA,@NYJ,,,,,,,,,,,,,,27,0.00,
Spencer Brown,2565558,RB,CAR,WAS,,,,,,,,,,,,,0.00,28,0.00,0.0
Rex Burkhead,2539265,RB,HOU,@TEN,,,,,,,,,,,,,1.95,29,0.00,-1.95
Michael Burton,2552636,RB,KC,DAL,,,,,,,,,,,,,0.42,30,0.00,-0.42
Jason Cabinda,2560986,RB,DET,@CLE,,,,,,,,,,,,,0.29,31,0.00,-0.29
