PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Micah Abernathy,2562915,DB,ATL,NYG,,,,,,,,,,,,,,,,,,0.00,339,1,0.00,0.0
Micah Abraham,2572108,DB,CIN,CLE,,,,,,,,,,,,,,,,,,0.00,340,2,0.00,0.0
Johnathan Abram,2562616,DB,FA,Bye,,,,,,,,,,,,,,,,,,,341,3,0.00,
Kris Abrams-Draine,2571988,DB,DEN,@LAC,,,,,,,,,,,,,,,,,,0.00,342,4,0.00,0.0
Jamal Adams,2557979,DB,FA,Bye,,,,,,,,,,,,,,,,,,,343,5,0.00,
Tony Adams,2568444,DB,NYJ,LAR,2.7,1.41,,0.26,0.06,,,,,,,,,0.32,,,,6.30,96,6,0.00,-6.3
Paulson Adebo,2566346,DB,NO,@GB,,,,,,,,,,,,,,,,,,0.00,344,7,0.00,0.0
Jaire Alexander,2560952,DB,GB,NO,2.12,0.55,,0.12,0.18,,,,,,,,,0.67,,2.06,,6.06,104,8,0.00,-6.06
Dee Alford,2567244,DB,ATL,NYG,0.29,0.24,,,0.06,,,,,,,,,0.06,,,,0.94,292,9,0.00,-0.94
Cam Allen,2573073,DB,FA,Bye,,,,,,,,,,,,,,,,,,,345,10,0.00,
Ugo Amadi,2562464,DB,NO,@GB,2.91,0.97,0.14,0.48,,0.07,,,0.07,,,,,0.14,,,0.07,6.82,80,11,0.00,-6.82
Adrian Amos,2552385,DB,FA,Bye,,,,,,,,,,,,,,,,,,,346,12,0.00,
Tycen Anderson,2567442,DB,CIN,CLE,0.35,0.18,,,,,,,,,,,,0.12,,,,0.93,293,13,0.00,-0.93
Zayne Anderson,2566977,DB,GB,NO,0.48,0.3,,,,,,,,,,,,0.06,,,,1.05,283,14,0.00,-1.05
Daijahn Anthony,2571919,DB,CIN,CLE,0.35,0.18,,,,,,,,,,,,,,,,0.63,318,15,0.00,-0.63
Chigozie Anusiem,2573596,DB,CLE,@CIN,,,,,,,,,,,,,,,,,,0.00,347,16,0.00,0.0
Eli Apple,2555277,DB,LAC,DEN,,,,,,,,,,,,,,,,,,0.00,348,17,0.00,0.0
Jalyn Armour-Davis,2567262,DB,BAL,PIT,0.41,0.41,,,,,,,,,,,,0.18,,,,1.31,251,18,0.00,-1.31
Cornell Armstrong,2561147,DB,FA,Bye,,,,,,,,,,,,,,,,,,,349,19,0.00,
Grayland Arnold,2564814,DB,FA,Bye,,,,,,,,,,,,,,,,,,,350,20,0.00,
Terrion Arnold,2572009,DB,DET,@CHI,1.74,0.48,,,0.12,,,0.06,,,,,,0.6,,1.92,,5.12,132,21,0.00,-5.12
Alex Austin,2569591,DB,NE,@BUF,0.37,0.26,,,,,,,,,,,,0.1,,,,0.96,289,22,0.00,-0.96
Anthony Averett,2560963,DB,FA,Bye,,,,,,,,,,,,,,,,,,,351,23,0.00,
Tre Avery,2568801,DB,TEN,@IND,0.5,0.33,,,0.06,,,,,,,,,0.11,,,,1.43,240,24,0.00,-1.43
Chidobe Awuzie,2557840,DB,TEN,@IND,1.63,0.63,,0.05,0.05,0.05,,,,,,,,,,,,3.25,188,25,0.00,-3.25
Budda Baker,2558009,DB,ARI,@CAR,4.04,1.84,,0.23,0.12,0.06,,,,,,,,0.4,0.17,,,9.22,21,26,0.00,-9.22
Darrell Baker Jr.,2569161,DB,TEN,@IND,1.11,0.39,,0.1,0.05,,,,,,,,,,,,,2.22,205,27,0.00,-2.22
Corey Ballentine,2562228,DB,GB,NO,0.48,0.3,,,,,,,,,,,,0.12,,,,1.20,260,28,0.00,-1.2
Deonte Banks,2570155,DB,NYG,@ATL,2.94,0.7,,0.11,0.11,,,,,,,,,0.64,,1.23,,7.02,73,29,0.00,-7.02
Marcus Banks,2573551,DB,TB,@DAL,,,,,,,,,,,,,,,,,,0.00,352,30,0.00,0.0
Luq Barcoo,2564160,DB,FA,Bye,,,,,,,,,,,,,,,,,,,353,31,0.00,
Kalon Barnes,2567343,DB,FA,Bye,,,,,,,,,,,,,,,,,,,354,32,0.00,
Shemar Bartholomew,2572678,DB,CAR,ARI,0.24,0.18,,,,,,,,,,,,,,,,0.47,338,33,0.00,-0.47
Essang Bassey,2563875,DB,FA,Bye,,,,,,,,,,,,,,,,,,,355,34,0.00,
Jessie Bates,2560970,DB,ATL,NYG,4.46,1.97,,0.12,0.23,0.12,,0.06,,,,,,0.58,,3.88,,11.10,6,35,0.00,-11.1
