PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Blake Cashman,2562496,LB,MIN,@SEA,3.12,2.59,0.15,0.29,,,0.06,,,,,,,0.24,0.29,,,7.77,51,1,19.30,11.53
Marte Mapu,2570104,LB,NE,@BUF,2.99,1.34,0.03,0.12,0.06,0.06,0.06,,,,,,,,,,,6.01,70,2,19.10,13.09
Zack Baun,2564664,LB,PHI,@WAS,5.66,2.74,0.26,0.29,,0.06,0.06,,,,,,,,,,,11.36,13,3,18.80,7.44
Cedric Gray,2572063,LB,TEN,@IND,1.78,0.77,0.09,0.18,,,,,0.06,,,,,,,,0.06,3.82,116,4,17.10,13.28
Matthew Judon,2555505,LB,ATL,NYG,1.72,1.52,0.73,0.99,,0.07,,,,,,,,0.13,1.72,,,7.87,50,5,16.90,9.03
Frankie Luvu,2561366,LB,WAS,PHI,3.71,2.4,0.27,0.49,,0.05,,,,,,,,0.22,0.55,,,9.28,30,6,15.90,6.62
Bobby Wagner,2532966,LB,WAS,PHI,4.45,3.31,0.11,0.51,,,,,,,,,,0.17,0.29,,,10.22,19,7,15.60,5.38
Terrel Bernard,2567325,LB,BUF,NE,5.02,3.17,0.26,0.53,0.07,,0.07,,,,,,,0.26,0.53,,,11.98,8,8,14.90,2.92
Jacoby Windmon,2573521,LB,CAR,ARI,,,,,,,,,,,,,,,,,,0.00,421,9,14.90,14.9
Edgerrin Cooper,2572030,LB,GB,NO,2.68,1.31,0.09,0.25,,0.06,,,,,,,,0.12,0.19,,,5.97,71,10,14.70,8.73
Kaden Elliss,2562901,LB,ATL,NYG,5.64,2.06,0.3,0.73,,,,,,,,,,0.18,0.49,,,12.09,6,11,14.00,1.91
Daiyan Henley,2570281,LB,LAC,DEN,5.66,4.03,0.27,0.7,,0.08,,,,,,,,0.23,0.31,,,13.51,2,12,13.80,0.29
Kyzir White,2560928,LB,ARI,@CAR,4.43,2.93,0.16,0.81,0.06,,,,,,,,,0.31,0.25,,,11.05,14,13,13.80,2.75
Micah Parsons,2566019,LB,DAL,TB,2.41,1.11,0.93,0.93,,0.12,0.06,,,,,,,0.19,2.1,,,9.54,25,14,13.60,4.06
Demario Davis,2533008,LB,NO,@GB,3.52,2.06,0.25,0.55,,,0.05,,,,,,,0.2,0.5,,,8.64,39,15,13.40,4.76
Andrew Van Ginkel,2562768,LB,MIN,@SEA,2.08,1.5,0.32,0.35,0.06,,0.06,,,,,,,0.4,0.92,1.85,,6.98,59,16,13.30,6.32
Lavonte David,2532828,LB,TB,@DAL,4.61,2.04,0.23,,0.06,0.06,0.06,,,,,,,0.29,0.23,0.35,,9.93,21,17,13.20,3.27
Christian Harris,2567679,LB,HOU,@KC,3.08,0.9,0.05,0.21,0.11,0.05,,0.05,,,,,,0.42,0.21,1.81,,7.55,55,18,12.70,5.15
Foye Oluokun,2561132,LB,JAX,@LV,8.02,4.52,0.18,0.73,0.07,0.07,0.15,,,,,,,0.36,0.58,,,18.03,1,19,12.70,-5.33
Dee Winters,2570296,LB,SF,@MIA,1.19,,,0.18,,0.06,0.06,,,,,,,,,,,2.33,152,20,12.70,10.37
Nakobe Dean,2568072,LB,PHI,@WAS,4.03,1.26,0.13,0.31,,,,,,,,,,,0.13,,,7.59,54,21,12.60,5.01
Darius Muasau,2572339,LB,NYG,@ATL,4.51,1.57,,0.68,,,,,0.23,,,,,,,,0.23,9.65,23,22,12.20,2.55
Henry To'oTo'o,2569831,LB,HOU,@KC,4.69,1.95,0.17,0.22,,0.11,,,,,,,,0.11,0.06,,,9.57,24,23,12.00,2.43
Fred Warner,2560917,LB,SF,@MIA,4.89,3.06,0.15,0.31,0.12,0.12,,,,,,,,0.61,0.31,,,12.46,4,24,12.00,-0.46
Jordyn Brooks,2565135,LB,MIA,SF,4.05,2.63,0.11,0.38,,0.05,0.05,,,,,,,0.22,0.22,,,9.33,28,25,11.80,2.47
Kyle Van Noy,2543699,LB,BAL,PIT,1.11,0.62,0.31,0.37,,0.12,0.06,,,,,,,0.18,0.49,,,4.39,105,26,11.80,7.41
Jordan Hicks,2552315,LB,CLE,@CIN,3.71,2.56,0.08,0.33,0.05,0.05,0.05,,,,,,,,,,,8.16,45,27,11.70,3.54
