PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Lamar Jackson,2560757,QB,BAL,@MIA,238,1,1,39,,,,,,,,15.42,9,,9,,,,,,,1,15.42
Tua Tagovailoa,2564499,QB,MIA,BAL,158,,,,,,,,,,1,14.96,3,,3,,,,,1,1,2,10.32
Jacoby Brissett,2555261,QB,MIA,BAL,156,,,4,,,,,,,1,14.96,1,,1,,,,,,,3,4.64
Brandon Allen,2555365,QB,CIN,Bye,,,,,,,,,,,,,,,,,,,,,,4,0.00
Josh Allen,2560955,QB,BUF,@NYJ,,,,,,,,,,,,0.00,,,,,,,,,,5,0.00
Kyle Allen,2561177,QB,WAS,TB,,,,,,,,,,,,0.00,,,,,,,,,,6,0.00
Kenji Bahar,2566608,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,7,0.00
Matt Barkley,2539308,QB,CAR,@ARI,,,,,,,,,,,,0.00,,,,,,,,,,8,0.00
C.J. Beathard,2557922,QB,JAX,@IND,,,,,,,,,,,,0.00,,,,,,,,,,9,0.00
David Blough,2563043,QB,DET,@PIT,,,,,,,,,,,,0.00,,,,,,,,,,10,0.00
Ian Book,2566352,QB,NO,@TEN,,,,,,,,,,,,0.00,,,,,,,,,,11,0.00
Blake Bortles,2543477,QB,GB,SEA,,,,,,,,,,,,0.00,,,,,,,,,,12,0.00
Tim Boyle,2561187,QB,DET,@PIT,,,,,,,,,,,,0.00,,,,,,,,,,13,0.00
Tom Brady,2504211,QB,TB,@WAS,,,,,,,,,,,,0.00,,,,,,,,,,14,0.00
Drew Brees,2504775,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,15,0.00
Teddy Bridgewater,2543465,QB,DEN,PHI,,,,,,,,,,,,0.00,,,,,,,,,,16,0.00
Jake Browning,2562634,QB,CIN,Bye,,,,,,,,,,,,,,,,,,,,,,17,0.00
Shane Buechele,2566983,QB,KC,@LV,,,,,,,,,,,,0.00,,,,,,,,,,18,0.00
Joe Burrow,2563722,QB,CIN,Bye,,,,,,,,,,,,,,,,,,,,,,19,0.00
Derek Carr,2543499,QB,LV,KC,,,,,,,,,,,,0.00,,,,,,,,,,20,0.00
Kirk Cousins,2532820,QB,MIN,@LAC,,,,,,,,,,,,0.00,,,,,,,,,,21,0.00
Andy Dalton,2495143,QB,CHI,Bye,,,,,,,,,,,,,,,,,,,,,,22,0.00
Chase Daniel,81284,QB,LAC,MIN,,,,,,,,,,,,0.00,,,,,,,,,,23,0.00
Sam Darnold,2561036,QB,CAR,@ARI,,,,,,,,,,,,0.00,,,,,,,,,,24,0.00
Ben DiNucci,2563839,QB,DAL,ATL,,,,,,,,,,,,0.00,,,,,,,,,,25,0.00
Joshua Dobbs,2558167,QB,PIT,DET,,,,,,,,,,,,0.00,,,,,,,,,,26,0.00
Jeff Driskel,2555262,QB,HOU,Bye,,,,,,,,,,,,,,,,,,,,,,27,0.00
Jacob Eason,2564115,QB,SEA,@GB,,,,,,,,,,,,0.00,,,,,,,,,,28,0.00
Sam Ehlinger,2566142,QB,IND,JAX,,,,,,,,,,,,0.00,,,,,,,,,,29,0.00
Danny Etling,2560717,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,30,0.00
Justin Fields,2565920,QB,CHI,Bye,,,,,,,,,,,,,,,,,,,,,,31,0.00
Ryan Finley,2562651,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,32,0.00
Ryan Fitzpatrick,2506581,QB,WAS,TB,,,,,,,,,,,,0.00,,,,,,,,,,33,0.00
Joe Flacco,382,QB,NYJ,BUF,,,,,,,,,,,,0.00,,,,,,,,,,34,0.00
Nick Foles,2532842,QB,CHI,Bye,,,,,,,,,,,,,,,,,,,,,,35,0.00
Feleipe Franks,2566683,QB,ATL,@DAL,,,,,,,,,,,,0.00,,,,,,,,,,36,0.00
Jake Fromm,2563608,QB,BUF,@NYJ,,,,,,,,,,,,0.00,,,,,,,,,,37,0.00
Blaine Gabbert,2495441,QB,TB,@WAS,,,,,,,,,,,,0.00,,,,,,,,,,38,0.00
Jimmy Garoppolo,2543801,QB,SF,LA,,,,,,,,,,,,0.00,,,,,,,,,,39,0.00
Garrett Gilbert,2549982,QB,NE,CLE,,,,,,,,,,,,0.00,,,,,,,,,,40,0.00
Mike Glennon,2539275,QB,NYG,Bye,,,,,,,,,,,,,,,,,,,,,,41,0.00
Jared Goff,2555334,QB,DET,@PIT,,,,,,,,,,,,0.00,,,,,,,,,,42,0.00
Anthony Gordon,2565153,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,43,0.00
Will Grier,2562404,QB,DAL,ATL,,,,,,,,,,,,0.00,,,,,,,,,,44,0.00
Ryan Griffin,2541185,QB,TB,@WAS,,,,,,,,,,,,0.00,,,,,,,,,,45,0.00
Dwayne Haskins,2562660,QB,PIT,DET,,,,,,,,,,,,0.00,,,,,,,,,,46,0.00
Taylor Heinicke,2553656,QB,WAS,TB,,,,,,,,,,,,0.00,,,,,,,,,,47,0.00
Chad Henne,252,QB,KC,@LV,,,,,,,,,,,,0.00,,,,,,,,,,48,0.00
Justin Herbert,2565045,QB,LAC,MIN,,,,,,,,,,,,0.00,,,,,,,,,,49,0.00
Taysom Hill,2558954,QB,NO,@TEN,,,,,,,,,,,,0.00,,,,,,,,,,50,0.00
Devlin Hodges,2563258,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,51,0.00
Brian Hoyer,81294,QB,NE,CLE,,,,,,,,,,,,0.00,,,,,,,,,,52,0.00
Brett Hundley,2552588,QB,IND,JAX,,,,,,,,,,,,0.00,,,,,,,,,,53,0.00
Tyler Huntley,2563560,QB,BAL,@MIA,,,,,,,,,,,,15.42,,,,,,,,,,54,0.00
Jalen Hurts,2564832,QB,PHI,@DEN,,,,,,,,,,,,0.00,,,,,,,,,,55,0.00
Josh Johnson,264,QB,NYJ,BUF,,,,,,,,,,,,0.00,,,,,,,,,,56,0.00
Daniel Jones,2562299,QB,NYG,Bye,,,,,,,,,,,,,,,,,,,,,,57,0.00
Mac Jones,2566334,QB,NE,CLE,,,,,,,,,,,,0.00,,,,,,,,,,58,0.00
Colin Kaepernick,2495186,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,59,0.00
Case Keenum,2532888,QB,CLE,@NE,,,,,,,,,,,,0.00,,,,,,,,,,60,0.00
DeShone Kizer,2557983,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,61,0.00
Trey Lance,2566532,QB,SF,LA,,,,,,,,,,,,0.00,,,,,,,,,,62,0.00
Kyle Lauletta,2560786,QB,JAX,@IND,,,,,,,,,,,,0.00,,,,,,,,,,63,0.00
Trevor Lawrence,2566163,QB,JAX,@IND,,,,,,,,,,,,0.00,,,,,,,,,,64,0.00
Drew Lock,2562305,QB,DEN,PHI,,,,,,,,,,,,0.00,,,,,,,,,,65,0.00
Jordan Love,2564007,QB,GB,SEA,,,,,,,,,,,,0.00,,,,,,,,,,66,0.00
Jake Luton,2564205,QB,SEA,@GB,,,,,,,,,,,,0.00,,,,,,,,,,67,0.00
Patrick Mahomes,2558125,QB,KC,@LV,,,,,,,,,,,,0.00,,,,,,,,,,68,0.00
Sean Mannion,2552576,QB,MIN,@LAC,,,,,,,,,,,,0.00,,,,,,,,,,69,0.00
Marcus Mariota,2552466,QB,LV,KC,,,,,,,,,,,,0.00,,,,,,,,,,70,0.00
Baker Mayfield,2560800,QB,CLE,@NE,,,,,,,,,,,,0.00,,,,,,,,,,71,0.00
AJ McCarron,2543497,QB,ATL,@DAL,,,,,,,,,,,,0.00,,,,,,,,,,72,0.00
Josh McCown,2505076,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,73,0.00
Colt McCoy,497123,QB,ARI,CAR,,,,,,,,,,,,0.00,,,,,,,,,,74,0.00
Cole McDonald,2564052,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,75,0.00
Alex McGough,2561148,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,76,0.00
Trace McSorley,2562403,QB,BAL,@MIA,,,,,,,,,,,,15.42,,,,,,,,,,77,0.00
Davis Mills,2566136,QB,HOU,Bye,,,,,,,,,,,,,,,,,,,,,,78,0.00
Gardner Minshew,2562796,QB,PHI,@DEN,,,,,,,,,,,,0.00,,,,,,,,,,79,0.00
Kellen Mond,2566310,QB,MIN,@LAC,,,,,,,,,,,,0.00,,,,,,,,,,80,0.00
Steven Montez,2565285,QB,DET,@PIT,,,,,,,,,,,,0.00,,,,,,,,,,81,0.00
Matt Moore,2507282,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,82,0.00
James Morgan,2564805,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,83,0.00
Jalen Morton,2564013,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,84,0.00
Kyler Murray,2562382,QB,ARI,CAR,,,,,,,,,,,,0.00,,,,,,,,,,85,0.00
Jamie Newman,2567058,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,86,0.00
Cam Newton,2495455,QB,CAR,@ARI,,,,,,,,,,,,0.00,,,,,,,,,,87,0.00
Bryce Perkins,2564382,QB,LA,@SF,,,,,,,,,,,,0.00,,,,,,,,,,88,0.00
Nathan Peterman,2558191,QB,LV,KC,,,,,,,,,,,,0.00,,,,,,,,,,89,0.00
Dak Prescott,2555260,QB,DAL,ATL,,,,,,,,,,,,0.00,,,,,,,,,,90,0.00
Philip Rivers,2506121,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,91,0.00
Aaron Rodgers,2506363,QB,GB,SEA,,,,,,,,,,,,0.00,,,,,,,,,,92,0.00
Ben Roethlisberger,2506109,QB,PIT,DET,,,,,,,,,,,,0.00,,,,,,,,,,93,0.00
Josh Rosen,2560858,QB,ATL,@DAL,,,,,,,,,,,,0.00,,,,,,,,,,94,0.00
Jake Rudock,2556232,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,95,0.00
Mason Rudolph,2560860,QB,PIT,DET,,,,,,,,,,,,0.00,,,,,,,,,,96,0.00
Cooper Rush,2559242,QB,DAL,ATL,,,,,,,,,,,,0.00,,,,,,,,,,97,0.00
Matt Ryan,310,QB,ATL,@DAL,,,,,,,,,,,,0.00,,,,,,,,,,98,0.00
Brett Rypien,2562718,QB,DEN,PHI,,,,,,,,,,,,0.00,,,,,,,,,,99,0.00
Matt Schaub,2505982,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,100,0.00
Kyle Shurmur,2562731,QB,WAS,TB,,,,,,,,,,,,0.00,,,,,,,,,,101,0.00
Trevor Siemian,2553457,QB,NO,@TEN,,,,,,,,,,,,0.00,,,,,,,,,,102,0.00
Reid Sinnett,2565255,QB,PHI,@DEN,,,,,,,,,,,,0.00,,,,,,,,,,103,0.00
Alex Smith,2506340,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,104,0.00
Geno Smith,2539335,QB,SEA,@GB,,,,,,,,,,,,0.00,,,,,,,,,,105,0.00
Matthew Stafford,79860,QB,LA,@SF,,,,,,,,,,,,0.00,,,,,,,,,,106,0.00
Nate Stanley,2564577,QB,MIN,@LAC,,,,,,,,,,,,0.00,,,,,,,,,,107,0.00
Drew Stanton,2495748,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,108,0.00
Tommy Stevens,2564697,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,109,0.00
Easton Stick,2562745,QB,LAC,MIN,,,,,,,,,,,,0.00,,,,,,,,,,110,0.00
Jarrett Stidham,2562746,QB,NE,CLE,,,,,,,,,,,,0.00,,,,,,,,,,111,0.00
Chris Streveler,2563458,QB,ARI,CAR,,,,,,,,,,,,0.00,,,,,,,,,,112,0.00
Nate Sudfeld,2555427,QB,SF,LA,,,,,,,,,,,,0.00,,,,,,,,,,113,0.00
Ryan Tannehill,2532956,QB,TEN,NO,,,,,,,,,,,,0.00,,,,,,,,,,114,0.00
Tyrod Taylor,2495240,QB,HOU,Bye,,,,,,,,,,,,,,,,,,,,,,115,0.00
Clayton Thorson,2562762,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,116,0.00
Kyle Trask,2566571,QB,TB,@WAS,,,,,,,,,,,,0.00,,,,,,,,,,117,0.00
Mitchell Trubisky,2558008,QB,BUF,@NYJ,,,,,,,,,,,,0.00,,,,,,,,,,118,0.00
P.J. Walker,2558904,QB,CAR,@ARI,,,,,,,,,,,,0.00,,,,,,,,,,119,0.00
Deshaun Watson,2558063,QB,HOU,Bye,,,,,,,,,,,,,,,,,,,,,,120,0.00
Davis Webb,2557897,QB,BUF,@NYJ,,,,,,,,,,,,0.00,,,,,,,,,,121,0.00
Carson Wentz,2555259,QB,IND,JAX,,,,,,,,,,,,0.00,,,,,,,,,,122,0.00
Mike White,2560929,QB,NYJ,BUF,,,,,,,,,,,,0.00,,,,,,,,,,123,0.00
Russell Wilson,2532975,QB,SEA,@GB,,,,,,,,,,,,0.00,,,,,,,,,,124,0.00
