PlayerName,PlayerId,Pos,Team,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Jason Sanders,2561153,K,MIA,36,,1,8,7,12,8,,,,1,172.00
Younghoe Koo,2559205,K,ATL,33,3,,10,11,8,8,,,1,2,158.80
Tyler Bass,2563596,K,BUF,57,2,1,9,6,8,4,,,3,3,149.70
Daniel Carlson,2560993,K,LV,45,2,,18,8,3,4,,,,4,149.00
Greg Zuerlein,2534797,K,DAL,33,3,1,5,13,12,3,,,,5,144.00
Rodrigo Blankenship,2564106,K,IND,43,2,,10,12,9,1,,,1,6,143.00
Justin Tucker,2536340,K,BAL,52,1,,8,6,9,3,,,1,7,142.70
Cairo Santos,2550636,K,CHI,36,1,,9,10,9,2,,,,8,137.70
Wil Lutz,2556601,K,NO,57,1,,5,10,7,1,,1,,9,130.00
Ryan Succop,89802,K,TB,52,5,1,10,9,7,1,,,,10,130.00
Jason Myers,2553112,K,SEA,49,4,,2,7,13,2,,,,11,128.50
Graham Gano,71309,K,NYG,21,2,,4,13,9,5,,,,12,127.80
Brandon McManus,2541556,K,DEN,24,3,,6,4,8,10,,,1,13,127.70
Ka'imi Fairbairn,2556521,K,HOU,37,3,,8,9,6,4,,,,14,123.00
Dustin Hopkins,2539227,K,LAC,30,2,,5,7,13,2,,,1,15,122.70
Joey Slye,2563132,K,WAS,33,3,,11,10,7,1,,1,,16,121.40
Harrison Butker,2558245,K,KC,48,6,2,7,9,3,4,,,,17,117.70
Nick Folk,2507225,K,NE,30,3,,6,7,11,2,,,,18,114.00
Stephen Gostkowski,2506922,K,FA,46,2,,2,4,5,7,,1,1,19,111.70
Mike Badgley,2560965,K,IND,36,3,,8,6,8,2,,,,20,111.00
Mason Crosby,2507232,K,GB,59,4,1,1,5,5,4,,,,21,109.70
Matt Prater,2506677,K,ARI,38,3,,4,7,4,6,,,,22,108.00
Robbie Gould,2506264,K,SF,36,2,,3,5,9,2,,,1,23,99.00
Cody Parkey,2550380,K,FA,43,4,,5,4,10,,,,2,24,96.00
Randy Bullock,2533444,K,TEN,24,1,,3,8,7,3,,,2,25,95.00
Chris Boswell,2550545,K,PIT,34,4,,5,6,7,1,,,,26,88.00
Dan Bailey,2495259,K,FA,37,6,,6,3,4,2,,,1,27,71.00
Jake Elliott,2558172,K,PHI,24,2,,1,6,5,2,,2,,28,66.70
Matt Gay,2562271,K,LA,16,,,2,5,6,1,,,1,29,65.00
Sam Ficken,2557430,K,TEN,12,3,,5,6,1,1,,,,30,45.00
Aldrick Rosas,2556771,K,DET,9,,,3,2,,3,,,,31,38.00
Mike Nugent,2506386,K,FA,7,,,1,4,2,,,,1,32,29.00
Austin Seibert,2562729,K,DET,8,1,,,5,1,,,,,33,24.00
Josh Lambo,2553833,K,FA,8,2,,,2,1,2,,,,34,22.00
Matthew Wright,2562968,K,JAX,7,,,1,1,2,,,,,35,21.00
Chase McLaughlin,2563203,K,CLE,5,1,,1,1,1,1,,,,36,17.00
Tristan Vizcaino,2562807,K,LAC,2,,,,2,1,,,,,37,12.00
Kai Forbath,2495150,K,FA,4,1,,2,,,,,,,38,8.70
Ty Long,2553555,K,LAC,,,,,,,,,,,39,3.10
Roberto Aguayo,2555408,K,FA,,,,,,,,,,,40,0.00
Matt Ammendola,2565555,K,NYJ,,,,,,,,,,,41,0.00
Chris Blewitt,2562800,K,FA,,,,,,,,,,,42,0.00
Chandler Catanzaro,2550325,K,FA,,,,,,,,,,,43,0.00
Dominik Eberle,2565360,K,FA,,,,,,,,,,,44,0.00
Zane Gonzalez,2558178,K,CAR,,,,,,,,,,,45,0.00
Lirim Hajrullahu,2563449,K,DAL,,,,,,,,,,,46,0.00
Stephen Hauschka,2507374,K,FA,2,,,,,,,,1,,47,0.00
Brian Johnson,2566740,K,FA,,,,,,,,,,,48,0.00
Greg Joseph,2561534,K,MIN,,,,,,,,,,,49,0.00
Alex Kessman,2566484,K,FA,,,,,,,,,,,50,0.00
Austin MacGinnis,2563452,K,FA,,,,,,,,,,,51,0.00
Brett Maher,2540243,K,NO,,,,,,,,,,,52,0.00
Tucker McCann,2565462,K,FA,,,,,,,,,,,53,0.00
Evan McPherson,2565953,K,CIN,,,,,,,,,,,54,0.00
JJ Molson,2565550,K,GB,,,,,,,,,,,55,0.00
Chris Naggar,2565744,K,CLE,,,,,,,,,,,56,0.00
Quinn Nordin,2565684,K,NE,,,,,,,,,,,57,0.00
Riley Patterson,2567013,K,DET,,,,,,,,,,,58,0.00
Ryan Santoso,2561269,K,FA,,,,,,,,,,,59,0.00
Giorgio Tavecchio,2535686,K,FA,,,,,,,,,,,60,0.00
Jake Verity,2566731,K,BAL,,,,,,,,,,,61,0.00
Brandon Wright,2564247,K,FA,1,1,,,,,,,,,62,-2.00
