PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Davante Adams,2543495,WR,GB,,,,,,115,1374,18,,,,1,32.69,,115,115,115,149,77,28,23,18,1,300.90
Tyreek Hill,2556214,WR,KC,,,,123,2,87,1276,15,,,,1,,,,,,,,,,,2,288.60
Stefon Diggs,2552608,WR,BUF,,,,1,,127,1535,8,,,,,32.63,1,127,128,127,166,77,16,12,6,3,266.80
Calvin Ridley,2560854,WR,ATL,,,,1,,90,1374,9,,,1,1,38.87,5,90,95,90,143,63,22,14,9,4,238.20
DK Metcalf,2562685,WR,SEA,,,,,,83,1303,10,,,,1,40.21,,83,83,83,129,64,16,8,9,5,234.90
DeAndre Hopkins,2540165,WR,ARI,,,,1,,115,1407,6,,,,3,,,,,,,,,,,6,233.40
Justin Jefferson,2564556,WR,MIN,,,,2,,88,1400,7,,,2,1,34.46,1,88,89,88,125,70,12,6,8,7,229.90
Adam Thielen,2541785,WR,MIN,,,,15,,74,925,14,,,1,,34.46,3,74,77,74,108,69,20,17,10,8,218.70
Tyler Lockett,2552430,WR,SEA,,,,,,100,1054,10,,,,1,40.21,,100,100,100,132,76,16,12,8,9,215.10
Mike Evans,2543468,WR,TB,,,,,,70,1006,13,,,,,29.68,,70,70,70,109,64,19,12,13,10,213.60
Allen Robinson,2543509,WR,CHI,,,,-1,,102,1250,6,,,,,30.58,1,102,103,102,151,68,19,8,9,11,213.60
A.J. Brown,2562238,WR,TEN,,,,,,70,1075,11,1,,,2,36.14,,70,70,70,106,66,12,9,6,12,212.20
Robert Woods,2540169,WR,LA,,,,155,2,90,936,6,,,,2,35.55,24,90,114,90,129,70,11,14,6,13,201.50
Brandin Cooks,2543498,WR,HOU,,,,,,81,1150,6,,,,,41.66,,81,81,81,119,68,11,7,4,14,198.30
Amari Cooper,2552487,WR,DAL,,,,14,,92,1114,5,,,1,,30.83,6,92,98,92,130,71,16,6,9,15,195.90
Keenan Allen,2540154,WR,LAC,,,,-1,,100,992,8,,,1,3,32.86,1,100,101,100,147,68,17,13,10,16,194.80
D.J. Moore,2560813,WR,CAR,,,,22,,66,1193,4,,,,,38.35,2,66,68,66,118,56,9,2,5,17,191.53
Marvin Jones,2532884,WR,JAX,,,,,,76,978,9,,,,,37.69,,76,76,76,115,66,14,9,5,18,191.50
