PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Travis Kelce,2540258,TE,KC,4,,,,,105,1416,11,,,1,1,,,,,,,,,,,1,260.26
Darren Waller,2552408,TE,LV,,,,,,107,1196,9,,,1,2,14.22,,107,107,107,146,73,24,19,9,2,228.50
Robert Tonyan,2559270,TE,GB,,,,,,52,586,11,,,,,15.64,,52,52,52,59,88,11,10,6,3,150.60
Logan Thomas,2543767,TE,WAS,28,,,5,,72,670,6,,,,,11.21,3,72,75,72,110,65,17,16,6,4,148.42
T.J. Hockenson,2562378,TE,DET,,,,,,67,723,6,,,1,1,12.32,1,67,68,67,101,66,17,9,10,5,143.50
Mark Andrews,2560957,TE,BAL,,,,,,58,701,7,,,,2,9.41,,58,58,58,88,66,18,11,8,6,140.50
Mike Gesicki,2560994,TE,MIA,,,,,,53,703,6,,,,,17.38,,53,53,53,85,62,16,7,7,7,132.80
Rob Gronkowski,497240,TE,TB,,,,,,45,623,7,,,,1,14.16,,45,45,45,77,58,17,6,8,8,126.50
Hayden Hurst,2560747,TE,ATL,,,,,,56,571,6,,,,,11.32,,56,56,56,88,64,15,6,4,9,122.80
Jonnu Smith,2558207,TE,NE,,,,4,1,41,448,8,,,,,11.71,2,41,43,41,65,63,19,13,10,10,121.40
Dalton Schultz,2560866,TE,DAL,,,,,,63,615,4,,,,1,12.00,,63,63,63,89,71,14,9,4,11,120.20
Noah Fant,2562383,TE,DEN,,,,,,62,673,3,,,1,,11.89,,62,62,62,93,67,12,7,3,12,118.30
Jimmy Graham,497236,TE,CHI,,,,,,50,456,8,,,,1,9.94,,50,50,50,76,66,20,13,12,13,118.30
Hunter Henry,2555341,TE,NE,,,,,,60,613,4,,,,,11.71,,60,60,60,93,65,14,6,8,14,117.00
Eric Ebron,2543466,TE,PIT,,,,,,56,558,5,,,1,1,13.10,,56,56,56,91,62,19,10,8,15,113.80
Evan Engram,2557858,TE,NYG,,,,26,1,63,654,1,,,,1,14.41,6,63,69,63,109,58,13,8,3,16,113.70
Jared Cook,71265,TE,LAC,,,,,,37,504,7,,,,1,14.16,,37,37,37,60,62,15,8,2,17,113.10
Tyler Higbee,2555364,TE,LA,,,,1,,44,521,5,,,1,,8.88,1,44,45,44,60,73,6,6,4,18,107.90
George Kittle,2558266,TE,SF,,,,17,,48,634,2,,,,,12.49,2,48,50,48,63,76,4,3,2,19,101.10
Austin Hooper,2555415,TE,CLE,,,,,,46,435,4,,,,,13.15,,46,46,46,70,66,9,5,7,20,94.70
Dallas Goedert,2560995,TE,PHI,,,,,,46,524,3,,,,,12.52,,46,46,46,65,71,6,5,3,21,93.40
Irv Smith,2562738,TE,MIN,,,,,,30,365,5,,,1,,12.31,,30,30,30,43,70,12,8,6,22,85.20
Dan Arnold,2559385,TE,JAX,,,,,,31,438,4,,,,2,15.61,,31,31,31,45,69,6,5,3,23,80.30
Gerald Everett,2557889,TE,SEA,,,,2,1,41,417,1,,,,1,14.06,1,41,42,41,62,66,5,3,4,24,74.10
Tyler Eifert,2540148,TE,FA,,,,,,36,349,2,,,,,,,,,,,,,,,25,73.50
Trey Burton,2550284,TE,FA,,,,3,2,28,250,3,,,,,,,,,,,,,,,26,71.80
Mo Alie-Cox,2558832,TE,IND,,,,,,31,394,2,,,,1,12.61,,31,31,31,39,79,5,3,2,27,66.60
Zach Ertz,2540158,TE,ARI,,,,,,36,335,1,,,1,,,,,,,,,,,,28,66.30
Anthony Firkser,2558942,TE,TEN,,,,,,39,387,1,,,,,10.73,,39,39,39,53,74,7,4,1,29,65.90
Darren Fells,2540928,TE,TB,,,,,,21,312,4,,,,,14.16,,21,21,21,28,75,4,2,2,30,65.70
Jordan Akins,2560951,TE,HOU,,,,4,,37,403,1,,,,,11.41,1,37,38,37,49,76,8,4,5,31,65.20
Jordan Reed,2540160,TE,FA,,,,,,26,231,4,,,,,,,,,,,,,,,32,61.80
Drew Sample,2562720,TE,CIN,,,,,,40,349,1,,,,1,12.19,,40,40,40,53,75,11,4,3,33,60.60
Richard Rodgers,2550313,TE,PHI,,,,,,24,345,2,,,,,12.52,,24,24,24,31,77,3,2,,34,60.10
Chris Herndon,2560738,TE,MIN,,,,,,31,287,3,,,,2,12.31,,31,31,31,45,69,4,2,2,35,58.20
Jacob Hollister,2558956,TE,JAX,,,,,,25,209,3,,,1,,15.61,,25,25,25,40,63,10,6,2,36,55.80
Dawson Knox,2562681,TE,BUF,,,,,,24,288,3,,,,2,13.02,,24,24,24,44,55,10,6,6,37,54.80
Cameron Brate,2550656,TE,TB,,,,,,28,282,2,,,,,14.16,,28,28,28,34,82,4,3,2,38,54.20
Kyle Rudolph,2495438,TE,NYG,,,,,,28,334,1,,,,1,14.41,,28,28,28,37,76,5,2,2,39,54.10
Jack Doyle,2540232,TE,IND,,,,,,23,251,3,,,,1,12.61,,23,23,23,33,70,8,6,3,40,52.60
Will Dissly,2561046,TE,SEA,,,,,,24,251,2,,,,,14.06,,24,24,24,29,83,4,2,,41,51.60
Harrison Bryant,2563767,TE,CLE,,,,,,24,238,3,,,,2,13.15,,24,24,24,38,63,5,4,2,42,51.50
Cole Kmet,2563704,TE,CHI,,,,-3,,28,243,2,,,,1,9.94,1,28,29,28,44,64,6,4,5,43,49.70
Durham Smythe,2560880,TE,MIA,,,,,,26,208,2,,,,,17.38,,26,26,26,29,90,6,4,3,44,45.80
James O'Shaughnessy,2553318,TE,JAX,,,,,,28,262,,,,,,15.61,,28,28,28,38,74,2,2,,45,45.30
Ross Dwelley,2561060,TE,SF,,,,,,19,245,1,,,,,12.49,,19,19,19,24,79,3,2,2,46,43.40
David Njoku,2557986,TE,CLE,,,,,,19,213,2,,,,,13.15,,19,19,19,29,66,6,3,4,47,42.80
