PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Roquan Smith,2560877,LB,CHI,98,41,4,18,2,1,1,,,,,,,7,6,16,,1,264.93
Devin White,2562781,LB,TB,97,43,9,15,,1,1,,,,,,,4,16,,2,2,262.37
Zach Cunningham,2558094,LB,HOU,106,58,3,7,,1,,,,,,,,2,4,,,3,253.60
Blake Martinez,2555161,LB,NYG,86,65,3,9,1,2,1,,,,,,,5,6,2,,4,244.77
Joe Schobert,2555166,LB,PIT,84,57,2.5,6,3,2,,1,,,,,,4,6,45,,5,238.40
Jaylon Smith,2555310,LB,FA,89,65,1.5,5,1,,2,,,,,,,5,4,43,21,6,235.93
Darius Leonard,2560789,LB,IND,86,46,3,7,,3,2,,,,,,,7,3,,3,7,229.10
Bobby Wagner,2532966,LB,SEA,81,57,3,7,,,1,,,,,,,8,11,,,8,226.30
Lavonte David,2532828,LB,TB,82,35,1.5,12,1,3,2,,,,,,,6,3,-5,,9,220.73
Neville Hewitt,2553657,LB,HOU,91,43,2,6,,1,1,,,,,,,4,4,,17,10,219.17
Eric Wilson,2559012,LB,HOU,62,60,3,8,3,1,2,,,,,,1,8,9,23,7,11,215.90
Foye Oluokun,2561132,LB,ATL,78,39,3,4,2,4,1,,,,,,,4,9,65,,12,212.47
Fred Warner,2560917,LB,SF,79,46,1,5,2,1,2,,,,,,,6,7,3,,13,211.70
Deion Jones,2555162,LB,ATL,73,33,4.5,9,2,1,1,1,,,,,,6,10,84,,14,211.30
Demario Davis,2533008,LB,NO,73,46,4,10,,,,,,,,,,5,12,,,15,202.40
Tyrell Adams,2553898,LB,SF,76,49,2,5,,2,1,,,,,,,4,3,,,16,199.40
Jerome Baker,2560966,LB,MIA,70,42,7,7,,2,,,,,,,,3,11,,,17,197.10
Jordan Hicks,2552315,LB,ARI,78,40,,11,1,,,,,,,,,4,1,6,,18,195.30
T.J. Watt,2558064,LB,PIT,43,10,15,23,1,2,,,,,,,,7,41,,,19,194.10
Myles Jack,2555329,LB,JAX,72,46,1,6,1,1,2,,,,,,,5,2,,16,20,193.23
Patrick Queen,2563575,LB,BAL,66,40,3,9,1,2,2,,1,,,,,2,10,,53,21,191.97
Alex Singleton,2553739,LB,PHI,75,45,2,5,1,,2,1,,,,,,1,7,30,1,22,191.53
A.J. Johnson,2561704,LB,DEN,72,52,1,4,,2,,,,,,,,2,5,,,23,186.50
Tremaine Edmunds,2560713,LB,BUF,77,42,2,4,,,,,,,,,,3,3,,,24,183.50
Eric Kendricks,2552312,LB,MIN,69,38,,4,3,,,,,,,,,6,1,,,25,179.70
Shaq Thompson,2552447,LB,CAR,64,50,,6,,2,1,,,,,,,5,2,,,26,179.30
K.J. Wright,2495252,LB,LV,60,26,2,11,1,1,2,,,,,,,10,3,7,,27,179.03
Jon Bostic,2539978,LB,WAS,61,57,3,6,1,,,,,,,,,3,6,,,28,178.30
Haason Reddick,2557887,LB,CAR,43,20,12.5,15,,6,,,,,,,,4,16,,,29,175.60
Keanu Neal,2555543,LB,DAL,76,24,1,9,1,,1,,,,,,,2,3,,,30,174.90
Josey Jewell,2560763,LB,DEN,67,46,2,5,,,,,,,,,,4,5,,,31,174.70
Danny Trevathan,2532961,LB,CHI,67,46,1,3,,1,,,,,,,,5,2,,,32,174.20
Avery Williamson,2543597,LB,DEN,73,38,1,3,1,,,,,,,,,3,2,21,,33,173.70
Jamie Collins,2539311,LB,NE,55,46,1,6,1,3,1,,,,,,,6,3,1,,34,172.83
Nicholas Morrow,2559054,LB,LV,62,16,3,8,1,1,1,,,,,,,9,6,6,,35,169.90
De'Vondre Campbell,2555255,LB,GB,69,30,2,7,,1,,,,,,,,3,2,,,36,167.80
Kenneth Murray,2565063,LB,LAC,68,39,1,5,,,,,,,,,,3,1,,,37,164.30
B.J. Goodson,2555522,LB,FA,59,32,0.5,2,2,,1,,,,,,,6,3,7,,38,154.63
Kyle Van Noy,2543699,LB,NE,46,23,6,10,,2,2,,,,,,,6,10,,28,39,153.53
Anthony Walker,2558851,LB,CLE,65,27,,2,1,,1,,,,,,,5,1,11,,40,152.97
Rashaan Evans,2560718,LB,TEN,59,37,0.5,1,,,1,,,,,,,5,4,,25,41,148.73
Za'Darius Smith,2552279,LB,GB,35,17,12.5,12,,4,2,,,,,,,2,23,,,42,148.60
A.J. Klein,2539982,LB,BUF,53,22,5,5,,2,1,,,,,,,4,9,,,43,147.70
Harold Landry,2560784,LB,TEN,46,23,5.5,10,1,,,,,,,,,5,16,,,44,146.60
Josh Bynes,2530491,LB,BAL,53,46,1,5,,,1,,,,,,,2,2,,,45,143.40
Shaquil Barrett,2550541,LB,TB,43,14,8,11,,2,,,,,1,,,3,16,,,46,143.30
Jayon Brown,2558005,LB,TEN,45,31,1,5,1,2,,,,,,,,8,2,,,47,142.30
Dre Greenlaw,2562428,LB,SF,61,25,1,7,,,,,,,,,,1,2,,,48,139.70
Nick Kwiatkoski,2555288,LB,LV,53,28,1,3,1,1,,,,,,,,4,2,9,,49,137.30
Bobby Okereke,2562416,LB,IND,57,15,,4,1,,2,,,,,,,6,1,7,11,50,136.50
Khalil Mack,2543463,LB,CHI,29,21,9,11,1,3,2,,,,1,,,3,12,33,,51,135.20
Germaine Pratt,2562702,LB,CIN,55,34,,5,,,,,,,,,,2,,,,52,133.20
Troy Reeder,2563313,LB,LA,53,28,3,5,,,,,,,,,,2,4,,,53,133.00
Ja'Whaun Bentley,2561143,LB,NE,50,41,1.5,3,,,,,,,,,,2,3,,,54,131.80
Vince Williams,2540221,LB,FA,47,23,3,14,,,2,,,,,,,,4,,,55,129.30
Christian Kirksey,2543720,LB,HOU,46,31,2,2,2,,,,,,,,,4,2,18,,56,128.60
Leonard Floyd,2555285,LB,LA,31,24,10.5,11,,1,2,,,,,,,1,19,,,57,126.90
Kyzir White,2560928,LB,LAC,50,27,0.5,4,,,,,,,,,,3,3,,,58,122.60
Andrew Van Ginkel,2562768,LB,MIA,29,19,5.5,7,,3,1,,1,,,,1,4,10,,78,59,122.10
Cory Littleton,2556593,LB,LV,56,26,,4,,,,,,,,,,,,,,60,122.00
Krys Barnes,2563971,LB,GB,49,31,1,5,,1,,,,,,,,,1,,,61,121.60
Malcolm Smith,2499278,LB,CLE,49,23,1,3,1,1,,,,,,,,2,1,2,,62,120.77
Cole Holcomb,2562872,LB,WAS,45,27,2.5,6,1,,,,,,,,,1,4,,,63,120.10
Malik Reed,2562825,LB,DEN,34,19,8,8,,1,,,,,,,,1,17,,,64,115.50
T.J. Edwards,2562648,LB,PHI,37,33,2,5,1,2,,,,,,,,1,2,13,,65,115.23
Matt Judon,2555505,LB,NE,32,18,6,9,,,,,,,1,,,2,21,,,66,113.80
Micah Kiser,2560782,LB,DEN,44,33,,,,1,,,,,,,,3,1,,,67,112.70
Damien Wilson,2552686,LB,JAX,46,27,,3,,1,,,,,,,,1,,,,68,110.30
Anthony Hitchens,2543592,LB,KC,44,34,,2,,,,,,,,,,1,4,,,69,109.50
Sione Takitaki,2562753,LB,CLE,41,26,1,2,1,,,1,,,,,,1,2,50,,70,108.17
Isaiah Simmons,2564940,LB,ARI,43,11,2,4,1,1,1,,,,,,,2,3,12,,71,106.80
Robert Spillane,2561596,LB,PIT,39,6,2,4,1,,1,1,,,,,,4,3,33,,72,102.20
