PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Alvin Kamara,2558019,RB,NO,,,,932,16,83,756,5,,,,1,22.67,187,83,270,83,107,78,17,57,29,1,340.70
Derrick Henry,2556075,RB,TEN,,,,2027,17,19,114,,,,1,3,21.16,378,19,397,19,31,61,1,65,30,2,322.60
Dalvin Cook,2557991,RB,MIN,,,,1557,16,44,361,1,,,3,5,25.47,312,44,356,44,54,81,2,66,32,3,312.80
David Montgomery,2562502,RB,CHI,,,,1070,8,54,438,2,,,1,1,27.91,247,54,301,54,68,79,12,53,23,4,239.50
Jonathan Taylor,2564148,RB,IND,,,,1169,11,36,299,1,,,,1,25.59,232,36,268,36,39,92,5,52,19,5,236.50
Aaron Jones,2558116,RB,GB,,,,1104,9,47,355,2,,,,2,20.82,201,47,248,47,63,75,10,44,24,6,232.40
James Robinson,2564223,RB,JAX,,,,1070,7,49,344,3,,,1,3,21.11,240,49,289,49,60,82,6,37,11,7,224.60
Josh Jacobs,2562377,RB,LV,,,,1065,12,33,238,,,,,2,20.44,273,33,306,33,45,73,3,66,32,8,214.80
Kareem Hunt,2557917,RB,CLE,,,,841,6,38,304,5,,,,2,30.86,198,38,236,38,51,75,9,48,16,9,202.13
Nick Chubb,2561021,RB,CLE,,,,1067,12,16,150,,,,,1,30.86,190,16,206,16,18,89,2,39,19,10,199.70
Ezekiel Elliott,2555224,RB,DAL,,,,979,6,52,338,2,,,1,6,18.78,244,52,296,52,71,73,7,51,29,11,199.40
Antonio Gibson,2565276,RB,WAS,,,,795,11,36,247,,,,,2,22.98,170,36,206,36,44,82,3,31,16,12,185.90
Melvin Gordon,2552469,RB,DEN,,,,986,9,32,158,1,,,,4,17.59,215,32,247,32,44,73,4,30,17,13,185.30
Mike Davis,2553439,RB,ATL,,,,642,6,59,373,2,,,,1,27.03,165,59,224,59,70,84,11,49,26,14,181.20
Kenyan Drake,2555230,RB,LV,,,,955,10,25,137,,,,,3,20.44,239,25,264,25,31,81,2,57,32,15,178.40
Ronald Jones,2560770,RB,TB,,,,978,7,28,165,1,,,,2,24.61,192,28,220,28,42,67,4,33,23,16,172.30
Chris Carson,2558865,RB,SEA,,,,681,5,37,287,4,,,,1,21.21,141,37,178,37,46,80,6,25,11,17,167.30
